date,mariage cher,mariage luxe,mariage pas cher ,isPartial
2018-01-07,0,0,0,False
2018-01-14,93,0,93,False
2018-01-21,35,0,35,False
2018-01-28,36,0,36,False
2018-02-04,59,0,59,False
2018-02-11,70,0,70,False
2018-02-18,24,0,24,False
2018-02-25,24,0,24,False
2018-03-04,36,0,36,False
2018-03-11,36,0,36,False
2018-03-18,24,0,24,False
2018-03-25,49,0,49,False
2018-04-01,0,0,0,False
2018-04-08,100,0,100,False
2018-04-15,26,0,26,False
2018-04-22,25,0,25,False
2018-04-29,51,0,51,False
2018-05-06,38,0,25,False
2018-05-13,24,0,24,False
2018-05-20,37,0,37,False
2018-05-27,24,0,24,False
2018-06-03,75,0,75,False
2018-06-10,36,0,36,False
2018-06-17,25,0,25,False
2018-06-24,25,0,0,False
2018-07-01,49,0,49,False
2018-07-08,38,0,38,False
2018-07-15,41,0,41,False
2018-07-22,27,0,27,False
2018-07-29,54,0,54,False
2018-08-05,28,0,28,False
2018-08-12,56,0,56,False
2018-08-19,54,0,54,False
2018-08-26,26,0,26,False
2018-09-02,0,0,0,False
2018-09-09,26,0,26,False
2018-09-16,0,0,0,False
2018-09-23,25,0,25,False
2018-09-30,38,0,38,False
2018-10-07,52,0,52,False
2018-10-14,0,0,0,False
2018-10-21,26,0,26,False
2018-10-28,49,0,49,False
2018-11-04,0,0,0,False
2018-11-11,25,0,25,False
2018-11-18,0,0,0,False
2018-11-25,24,0,24,False
2018-12-02,0,0,0,False
2018-12-09,25,0,25,False
2018-12-16,25,0,25,False
2018-12-23,26,0,26,False
2018-12-30,25,0,25,False
2019-01-06,0,0,0,False
2019-01-13,71,0,71,False
2019-01-20,23,0,23,False
2019-01-27,35,0,35,False
2019-02-03,24,0,24,False
2019-02-10,74,0,74,False
2019-02-17,0,0,0,False
2019-02-24,49,0,49,False
2019-03-03,47,0,47,False
2019-03-10,36,0,24,False
2019-03-17,25,0,25,False
2019-03-24,25,0,25,False
2019-03-31,25,0,25,False
2019-04-07,25,0,25,False
2019-04-14,39,0,39,False
2019-04-21,37,0,37,False
2019-04-28,24,0,24,False
2019-05-05,23,0,23,False
2019-05-12,87,0,62,False
2019-05-19,37,0,37,False
2019-05-26,0,0,0,False
2019-06-02,35,0,35,False
2019-06-09,71,0,71,False
2019-06-16,37,0,37,False
2019-06-23,25,0,25,False
2019-06-30,25,0,25,False
2019-07-07,0,0,0,False
2019-07-14,26,0,26,False
2019-07-21,40,0,40,False
2019-07-28,0,0,0,False
2019-08-04,27,0,27,False
2019-08-11,26,0,26,False
2019-08-18,26,0,26,False
2019-08-25,24,0,24,False
2019-09-01,47,0,24,False
2019-09-08,0,0,0,False
2019-09-15,48,0,48,False
2019-09-22,0,0,0,False
2019-09-29,22,0,22,False
2019-10-06,0,0,0,False
2019-10-13,0,0,0,False
2019-10-20,23,0,23,False
2019-10-27,44,0,44,False
2019-11-03,22,0,22,False
2019-11-10,22,0,22,False
2019-11-17,0,0,0,False
2019-11-24,0,0,0,False
2019-12-01,22,0,22,False
2019-12-08,43,0,43,False
2019-12-15,0,0,0,False
2019-12-22,22,0,22,False
2019-12-29,65,0,44,False
2020-01-05,21,0,21,False
2020-01-12,20,0,20,False
2020-01-19,32,0,32,False
2020-01-26,20,0,20,False
2020-02-02,21,0,21,False
2020-02-09,41,0,41,False
2020-02-16,21,0,21,False
2020-02-23,60,0,60,False
2020-03-01,0,0,0,False
2020-03-08,19,0,19,False
2020-03-15,35,0,35,False
2020-03-22,17,0,17,False
2020-03-29,0,0,0,False
2020-04-05,34,0,34,False
2020-04-12,18,0,18,False
2020-04-19,0,0,0,False
2020-04-26,16,0,16,False
2020-05-03,0,0,0,True
