date,rosas a domicilio,isPartial
2018-01-07,10,False
2018-01-14,15,False
2018-01-21,20,False
2018-01-28,15,False
2018-02-04,19,False
2018-02-11,60,False
2018-02-18,10,False
2018-02-25,19,False
2018-03-04,14,False
2018-03-11,14,False
2018-03-18,10,False
2018-03-25,22,False
2018-04-01,10,False
2018-04-08,0,False
2018-04-15,29,False
2018-04-22,38,False
2018-04-29,50,False
2018-05-06,9,False
2018-05-13,20,False
2018-05-20,14,False
2018-05-27,10,False
2018-06-03,28,False
2018-06-10,9,False
2018-06-17,10,False
2018-06-24,10,False
2018-07-01,20,False
2018-07-08,0,False
2018-07-15,21,False
2018-07-22,31,False
2018-07-29,0,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,31,False
2018-08-26,30,False
2018-09-02,10,False
2018-09-09,15,False
2018-09-16,10,False
2018-09-23,0,False
2018-09-30,10,False
2018-10-07,10,False
2018-10-14,9,False
2018-10-21,10,False
2018-10-28,10,False
2018-11-04,9,False
2018-11-11,28,False
2018-11-18,0,False
2018-11-25,19,False
2018-12-02,10,False
2018-12-09,30,False
2018-12-16,10,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,15,False
2019-01-13,19,False
2019-01-20,22,False
2019-01-27,9,False
2019-02-03,24,False
2019-02-10,57,False
2019-02-17,10,False
2019-02-24,38,False
2019-03-03,19,False
2019-03-10,0,False
2019-03-17,20,False
2019-03-24,10,False
2019-03-31,18,False
2019-04-07,9,False
2019-04-14,25,False
2019-04-21,42,False
2019-04-28,23,False
2019-05-05,28,False
2019-05-12,19,False
2019-05-19,18,False
2019-05-26,9,False
2019-06-02,9,False
2019-06-09,9,False
2019-06-16,0,False
2019-06-23,10,False
2019-06-30,19,False
2019-07-07,19,False
2019-07-14,10,False
2019-07-21,10,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,10,False
2019-08-18,10,False
2019-08-25,9,False
2019-09-01,18,False
2019-09-08,18,False
2019-09-15,9,False
2019-09-22,9,False
2019-09-29,0,False
2019-10-06,17,False
2019-10-13,17,False
2019-10-20,0,False
2019-10-27,17,False
2019-11-03,17,False
2019-11-10,0,False
2019-11-17,9,False
2019-11-24,8,False
2019-12-01,13,False
2019-12-08,18,False
2019-12-15,34,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,17,False
2020-01-12,12,False
2020-01-19,8,False
2020-01-26,16,False
2020-02-02,16,False
2020-02-09,89,False
2020-02-16,8,False
2020-02-23,0,False
2020-03-01,8,False
2020-03-08,11,False
2020-03-15,8,False
2020-03-22,32,False
2020-03-29,28,False
2020-04-05,30,False
2020-04-12,100,True
