date,foto comunione,isPartial
2018-01-07,24,False
2018-01-14,31,False
2018-01-21,31,False
2018-01-28,35,False
2018-02-04,23,False
2018-02-11,39,False
2018-02-18,45,False
2018-02-25,30,False
2018-03-04,38,False
2018-03-11,42,False
2018-03-18,35,False
2018-03-25,57,False
2018-04-01,50,False
2018-04-08,46,False
2018-04-15,63,False
2018-04-22,29,False
2018-04-29,63,False
2018-05-06,70,False
2018-05-13,89,False
2018-05-20,74,False
2018-05-27,28,False
2018-06-03,35,False
2018-06-10,22,False
2018-06-17,12,False
2018-06-24,0,False
2018-07-01,8,False
2018-07-08,12,False
2018-07-15,20,False
2018-07-22,0,False
2018-07-29,16,False
2018-08-05,0,False
2018-08-12,17,False
2018-08-19,17,False
2018-08-26,16,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,15,False
2018-09-23,8,False
2018-09-30,0,False
2018-10-07,12,False
2018-10-14,16,False
2018-10-21,8,False
2018-10-28,23,False
2018-11-04,7,False
2018-11-11,8,False
2018-11-18,8,False
2018-11-25,8,False
2018-12-02,8,False
2018-12-09,8,False
2018-12-16,0,False
2018-12-23,19,False
2018-12-30,8,False
2019-01-06,15,False
2019-01-13,34,False
2019-01-20,18,False
2019-01-27,11,False
2019-02-03,26,False
2019-02-10,22,False
2019-02-17,30,False
2019-02-24,26,False
2019-03-03,24,False
2019-03-10,42,False
2019-03-17,16,False
2019-03-24,47,False
2019-03-31,58,False
2019-04-07,34,False
2019-04-14,36,False
2019-04-21,41,False
2019-04-28,81,False
2019-05-05,74,False
2019-05-12,100,False
2019-05-19,66,False
2019-05-26,25,False
2019-06-02,35,False
2019-06-09,35,False
2019-06-16,23,False
2019-06-23,12,False
2019-06-30,16,False
2019-07-07,8,False
2019-07-14,8,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,25,False
2019-08-11,0,False
2019-08-18,8,False
2019-08-25,22,False
2019-09-01,28,False
2019-09-08,11,False
2019-09-15,7,False
2019-09-22,7,False
2019-09-29,7,False
2019-10-06,14,False
2019-10-13,14,False
2019-10-20,14,False
2019-10-27,14,False
2019-11-03,20,False
2019-11-10,10,False
2019-11-17,7,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,7,False
2019-12-15,0,False
2019-12-22,13,False
2019-12-29,8,False
2020-01-05,7,False
2020-01-12,23,False
2020-01-19,13,False
2020-01-26,10,False
2020-02-02,30,False
2020-02-09,27,False
2020-02-16,17,False
2020-02-23,6,False
2020-03-01,16,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,8,False
2020-03-29,6,False
2020-04-05,6,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,10,True
