date,Wohnzimmer streichen,isPartial
2018-01-07,34,False
2018-01-14,100,False
2018-01-21,34,False
2018-01-28,35,False
2018-02-04,34,False
2018-02-11,35,False
2018-02-18,35,False
2018-02-25,34,False
2018-03-04,0,False
2018-03-11,35,False
2018-03-18,35,False
2018-03-25,0,False
2018-04-01,37,False
2018-04-08,0,False
2018-04-15,36,False
2018-04-22,0,False
2018-04-29,37,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,38,False
2018-06-03,0,False
2018-06-10,35,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,34,False
2018-07-08,35,False
2018-07-15,35,False
2018-07-22,59,False
2018-07-29,37,False
2018-08-05,38,False
2018-08-12,79,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,49,False
2018-09-09,0,False
2018-09-16,36,False
2018-09-23,0,False
2018-09-30,54,False
2018-10-07,0,False
2018-10-14,35,False
2018-10-21,0,False
2018-10-28,35,False
2018-11-04,0,False
2018-11-11,34,False
2018-11-18,49,False
2018-11-25,0,False
2018-12-02,33,False
2018-12-09,50,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,72,False
2019-01-06,0,False
2019-01-13,62,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,33,False
2019-02-24,0,False
2019-03-03,33,False
2019-03-10,32,False
2019-03-17,33,False
2019-03-24,65,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,35,False
2019-04-21,35,False
2019-04-28,0,False
2019-05-05,48,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,69,False
2019-06-16,0,False
2019-06-23,33,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,34,False
2019-08-04,36,False
2019-08-11,35,False
2019-08-18,0,False
2019-08-25,36,False
2019-09-01,34,False
2019-09-08,0,False
2019-09-15,34,False
2019-09-22,0,False
2019-09-29,33,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,0,False
2019-10-27,32,False
2019-11-03,46,False
2019-11-10,61,False
2019-11-17,31,False
2019-11-24,0,False
2019-12-01,31,False
2019-12-08,30,False
2019-12-15,31,False
2019-12-22,71,False
2019-12-29,0,False
2020-01-05,30,False
2020-01-12,0,False
2020-01-19,30,False
2020-01-26,29,False
2020-02-02,29,False
2020-02-09,29,False
2020-02-16,30,False
2020-02-23,28,False
2020-03-01,28,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,34,False
2020-03-29,52,False
2020-04-05,28,False
2020-04-12,27,False
2020-04-19,26,False
2020-04-26,0,False
2020-05-03,26,False
2020-05-10,52,False
2020-05-17,64,True
