date,Heizkörper Befestigung,isPartial
2018-01-07,21,False
2018-01-14,42,False
2018-01-21,21,False
2018-01-28,21,False
2018-02-04,33,False
2018-02-11,33,False
2018-02-18,44,False
2018-02-25,43,False
2018-03-04,32,False
2018-03-11,22,False
2018-03-18,33,False
2018-03-25,23,False
2018-04-01,35,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,23,False
2018-05-06,0,False
2018-05-13,44,False
2018-05-20,0,False
2018-05-27,45,False
2018-06-03,22,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,44,False
2018-07-01,21,False
2018-07-08,0,False
2018-07-15,38,False
2018-07-22,23,False
2018-07-29,0,False
2018-08-05,45,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,22,False
2018-09-02,0,False
2018-09-09,44,False
2018-09-16,33,False
2018-09-23,22,False
2018-09-30,33,False
2018-10-07,22,False
2018-10-14,55,False
2018-10-21,0,False
2018-10-28,28,False
2018-11-04,42,False
2018-11-11,32,False
2018-11-18,21,False
2018-11-25,21,False
2018-12-02,21,False
2018-12-09,42,False
2018-12-16,22,False
2018-12-23,100,False
2018-12-30,23,False
2019-01-06,34,False
2019-01-13,40,False
2019-01-20,20,False
2019-01-27,40,False
2019-02-03,20,False
2019-02-10,20,False
2019-02-17,41,False
2019-02-24,21,False
2019-03-03,20,False
2019-03-10,0,False
2019-03-17,21,False
2019-03-24,0,False
2019-03-31,21,False
2019-04-07,41,False
2019-04-14,0,False
2019-04-21,22,False
2019-04-28,0,False
2019-05-05,20,False
2019-05-12,0,False
2019-05-19,20,False
2019-05-26,42,False
2019-06-02,20,False
2019-06-09,42,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,27,False
2019-07-14,32,False
2019-07-21,22,False
2019-07-28,33,False
2019-08-04,44,False
2019-08-11,21,False
2019-08-18,21,False
2019-08-25,21,False
2019-09-01,21,False
2019-09-08,21,False
2019-09-15,21,False
2019-09-22,50,False
2019-09-29,0,False
2019-10-06,30,False
2019-10-13,79,False
2019-10-20,0,False
2019-10-27,20,False
2019-11-03,25,False
2019-11-10,19,False
2019-11-17,19,False
2019-11-24,0,False
2019-12-01,19,False
2019-12-08,39,False
2019-12-15,0,False
2019-12-22,67,False
2019-12-29,0,False
2020-01-05,19,False
2020-01-12,0,False
2020-01-19,18,False
2020-01-26,24,False
2020-02-02,18,False
2020-02-09,18,False
2020-02-16,37,False
2020-02-23,24,False
2020-03-01,18,False
2020-03-08,0,False
2020-03-15,16,False
2020-03-22,0,False
2020-03-29,22,False
2020-04-05,36,False
2020-04-12,17,False
2020-04-19,17,False
2020-04-26,27,False
2020-05-03,25,False
2020-05-10,0,False
