date,Aire acondicionado,isPartial
2018-01-07,15,False
2018-01-14,18,False
2018-01-21,15,False
2018-01-28,12,False
2018-02-04,23,False
2018-02-11,16,False
2018-02-18,13,False
2018-02-25,14,False
2018-03-04,13,False
2018-03-11,13,False
2018-03-18,12,False
2018-03-25,12,False
2018-04-01,16,False
2018-04-08,15,False
2018-04-15,19,False
2018-04-22,22,False
2018-04-29,19,False
2018-05-06,18,False
2018-05-13,23,False
2018-05-20,24,False
2018-05-27,23,False
2018-06-03,23,False
2018-06-10,44,False
2018-06-17,100,False
2018-06-24,76,False
2018-07-01,44,False
2018-07-08,61,False
2018-07-15,42,False
2018-07-22,36,False
2018-07-29,80,False
2018-08-05,97,False
2018-08-12,46,False
2018-08-19,45,False
2018-08-26,40,False
2018-09-02,26,False
2018-09-09,18,False
2018-09-16,23,False
2018-09-23,22,False
2018-09-30,13,False
2018-10-07,13,False
2018-10-14,11,False
2018-10-21,10,False
2018-10-28,20,False
2018-11-04,14,False
2018-11-11,12,False
2018-11-18,10,False
2018-11-25,12,False
2018-12-02,10,False
2018-12-09,13,False
2018-12-16,11,False
2018-12-23,16,False
2018-12-30,14,False
2019-01-06,19,False
2019-01-13,18,False
2019-01-20,14,False
2019-01-27,13,False
2019-02-03,13,False
2019-02-10,13,False
2019-02-17,14,False
2019-02-24,14,False
2019-03-03,14,False
2019-03-10,20,False
2019-03-17,15,False
2019-03-24,15,False
2019-03-31,12,False
2019-04-07,13,False
2019-04-14,14,False
2019-04-21,13,False
2019-04-28,25,False
2019-05-05,30,False
2019-05-12,45,False
2019-05-19,33,False
2019-05-26,52,False
2019-06-02,45,False
2019-06-09,29,False
2019-06-16,34,False
2019-06-23,71,False
2019-06-30,71,False
2019-07-07,51,False
2019-07-14,55,False
2019-07-21,98,False
2019-07-28,47,False
2019-08-04,55,False
2019-08-11,44,False
2019-08-18,42,False
2019-08-25,30,False
2019-09-01,29,False
2019-09-08,16,False
2019-09-15,14,False
2019-09-22,12,False
2019-09-29,12,False
2019-10-06,11,False
2019-10-13,8,False
2019-10-20,13,False
2019-10-27,9,False
2019-11-03,11,False
2019-11-10,17,False
2019-11-17,20,False
2019-11-24,12,False
2019-12-01,10,False
2019-12-08,11,False
2019-12-15,10,False
2019-12-22,10,False
2019-12-29,10,False
2020-01-05,16,False
2020-01-12,17,False
2020-01-19,18,False
2020-01-26,15,False
2020-02-02,13,False
2020-02-09,11,False
2020-02-16,12,False
2020-02-23,12,False
2020-03-01,16,False
2020-03-08,11,False
2020-03-15,6,False
2020-03-22,5,False
2020-03-29,5,False
2020-04-05,7,False
2020-04-12,9,False
2020-04-19,9,False
2020-04-26,15,False
2020-05-03,45,False
2020-05-10,22,False
2020-05-17,53,True
