date,Aire acondicionado,isPartial
2018-01-07,3,False
2018-01-14,3,False
2018-01-21,7,False
2018-01-28,3,False
2018-02-04,7,False
2018-02-11,0,False
2018-02-18,3,False
2018-02-25,7,False
2018-03-04,3,False
2018-03-11,7,False
2018-03-18,8,False
2018-03-25,4,False
2018-04-01,6,False
2018-04-08,3,False
2018-04-15,7,False
2018-04-22,7,False
2018-04-29,7,False
2018-05-06,9,False
2018-05-13,7,False
2018-05-20,9,False
2018-05-27,5,False
2018-06-03,9,False
2018-06-10,6,False
2018-06-17,28,False
2018-06-24,28,False
2018-07-01,18,False
2018-07-08,11,False
2018-07-15,9,False
2018-07-22,29,False
2018-07-29,43,False
2018-08-05,35,False
2018-08-12,14,False
2018-08-19,13,False
2018-08-26,10,False
2018-09-02,7,False
2018-09-09,5,False
2018-09-16,5,False
2018-09-23,5,False
2018-09-30,0,False
2018-10-07,9,False
2018-10-14,0,False
2018-10-21,3,False
2018-10-28,10,False
2018-11-04,3,False
2018-11-11,3,False
2018-11-18,3,False
2018-11-25,10,False
2018-12-02,0,False
2018-12-09,3,False
2018-12-16,5,False
2018-12-23,4,False
2018-12-30,4,False
2019-01-06,7,False
2019-01-13,3,False
2019-01-20,6,False
2019-01-27,5,False
2019-02-03,4,False
2019-02-10,3,False
2019-02-17,5,False
2019-02-24,10,False
2019-03-03,3,False
2019-03-10,7,False
2019-03-17,4,False
2019-03-24,3,False
2019-03-31,6,False
2019-04-07,3,False
2019-04-14,11,False
2019-04-21,5,False
2019-04-28,8,False
2019-05-05,11,False
2019-05-12,9,False
2019-05-19,5,False
2019-05-26,7,False
2019-06-02,19,False
2019-06-09,8,False
2019-06-16,16,False
2019-06-23,100,False
2019-06-30,45,False
2019-07-07,21,False
2019-07-14,15,False
2019-07-21,52,False
2019-07-28,20,False
2019-08-04,26,False
2019-08-11,15,False
2019-08-18,11,False
2019-08-25,3,False
2019-09-01,6,False
2019-09-08,10,False
2019-09-15,6,False
2019-09-22,6,False
2019-09-29,5,False
2019-10-06,3,False
2019-10-13,4,False
2019-10-20,4,False
2019-10-27,4,False
2019-11-03,6,False
2019-11-10,8,False
2019-11-17,4,False
2019-11-24,3,False
2019-12-01,3,False
2019-12-08,3,False
2019-12-15,5,False
2019-12-22,7,False
2019-12-29,8,False
2020-01-05,6,False
2020-01-12,9,False
2020-01-19,7,False
2020-01-26,3,False
2020-02-02,5,False
2020-02-09,3,False
2020-02-16,4,False
2020-02-23,4,False
2020-03-01,3,False
2020-03-08,4,False
2020-03-15,2,False
2020-03-22,0,False
2020-03-29,3,False
2020-04-05,5,False
2020-04-12,5,False
2020-04-19,7,False
2020-04-26,7,False
2020-05-03,16,False
2020-05-10,7,False
2020-05-17,19,True
