date,Aire acondicionado,isPartial
2018-01-07,9,False
2018-01-14,9,False
2018-01-21,7,False
2018-01-28,7,False
2018-02-04,7,False
2018-02-11,9,False
2018-02-18,7,False
2018-02-25,8,False
2018-03-04,6,False
2018-03-11,7,False
2018-03-18,9,False
2018-03-25,8,False
2018-04-01,12,False
2018-04-08,9,False
2018-04-15,15,False
2018-04-22,16,False
2018-04-29,11,False
2018-05-06,15,False
2018-05-13,14,False
2018-05-20,15,False
2018-05-27,13,False
2018-06-03,12,False
2018-06-10,17,False
2018-06-17,64,False
2018-06-24,97,False
2018-07-01,33,False
2018-07-08,39,False
2018-07-15,26,False
2018-07-22,25,False
2018-07-29,49,False
2018-08-05,57,False
2018-08-12,28,False
2018-08-19,18,False
2018-08-26,18,False
2018-09-02,14,False
2018-09-09,10,False
2018-09-16,9,False
2018-09-23,9,False
2018-09-30,7,False
2018-10-07,6,False
2018-10-14,8,False
2018-10-21,7,False
2018-10-28,11,False
2018-11-04,11,False
2018-11-11,6,False
2018-11-18,6,False
2018-11-25,9,False
2018-12-02,7,False
2018-12-09,7,False
2018-12-16,5,False
2018-12-23,7,False
2018-12-30,7,False
2019-01-06,8,False
2019-01-13,9,False
2019-01-20,9,False
2019-01-27,8,False
2019-02-03,8,False
2019-02-10,7,False
2019-02-17,8,False
2019-02-24,10,False
2019-03-03,11,False
2019-03-10,9,False
2019-03-17,9,False
2019-03-24,9,False
2019-03-31,9,False
2019-04-07,11,False
2019-04-14,10,False
2019-04-21,7,False
2019-04-28,13,False
2019-05-05,15,False
2019-05-12,22,False
2019-05-19,16,False
2019-05-26,21,False
2019-06-02,34,False
2019-06-09,17,False
2019-06-16,24,False
2019-06-23,97,False
2019-06-30,100,False
2019-07-07,45,False
2019-07-14,51,False
2019-07-21,64,False
2019-07-28,27,False
2019-08-04,27,False
2019-08-11,16,False
2019-08-18,17,False
2019-08-25,15,False
2019-09-01,11,False
2019-09-08,8,False
2019-09-15,7,False
2019-09-22,7,False
2019-09-29,7,False
2019-10-06,7,False
2019-10-13,7,False
2019-10-20,12,False
2019-10-27,7,False
2019-11-03,7,False
2019-11-10,10,False
2019-11-17,9,False
2019-11-24,7,False
2019-12-01,7,False
2019-12-08,6,False
2019-12-15,5,False
2019-12-22,5,False
2019-12-29,7,False
2020-01-05,7,False
2020-01-12,8,False
2020-01-19,8,False
2020-01-26,8,False
2020-02-02,9,False
2020-02-09,8,False
2020-02-16,8,False
2020-02-23,9,False
2020-03-01,9,False
2020-03-08,7,False
2020-03-15,4,False
2020-03-22,3,False
2020-03-29,4,False
2020-04-05,5,False
2020-04-12,6,False
2020-04-19,8,False
2020-04-26,10,False
2020-05-03,20,False
2020-05-10,14,False
2020-05-17,32,True
