date,Aire acondicionado,isPartial
2018-01-07,18,False
2018-01-14,22,False
2018-01-21,11,False
2018-01-28,11,False
2018-02-04,21,False
2018-02-11,28,False
2018-02-18,23,False
2018-02-25,18,False
2018-03-04,11,False
2018-03-11,27,False
2018-03-18,11,False
2018-03-25,11,False
2018-04-01,31,False
2018-04-08,26,False
2018-04-15,34,False
2018-04-22,25,False
2018-04-29,22,False
2018-05-06,40,False
2018-05-13,19,False
2018-05-20,41,False
2018-05-27,39,False
2018-06-03,18,False
2018-06-10,31,False
2018-06-17,72,False
2018-06-24,49,False
2018-07-01,55,False
2018-07-08,100,False
2018-07-15,29,False
2018-07-22,56,False
2018-07-29,82,False
2018-08-05,100,False
2018-08-12,25,False
2018-08-19,25,False
2018-08-26,22,False
2018-09-02,28,False
2018-09-09,17,False
2018-09-16,30,False
2018-09-23,29,False
2018-09-30,19,False
2018-10-07,11,False
2018-10-14,22,False
2018-10-21,17,False
2018-10-28,23,False
2018-11-04,14,False
2018-11-11,11,False
2018-11-18,16,False
2018-11-25,18,False
2018-12-02,11,False
2018-12-09,17,False
2018-12-16,17,False
2018-12-23,24,False
2018-12-30,12,False
2019-01-06,11,False
2019-01-13,21,False
2019-01-20,15,False
2019-01-27,14,False
2019-02-03,11,False
2019-02-10,11,False
2019-02-17,22,False
2019-02-24,22,False
2019-03-03,11,False
2019-03-10,18,False
2019-03-17,16,False
2019-03-24,22,False
2019-03-31,27,False
2019-04-07,11,False
2019-04-14,11,False
2019-04-21,18,False
2019-04-28,21,False
2019-05-05,25,False
2019-05-12,21,False
2019-05-19,18,False
2019-05-26,32,False
2019-06-02,34,False
2019-06-09,46,False
2019-06-16,36,False
2019-06-23,74,False
2019-06-30,87,False
2019-07-07,73,False
2019-07-14,44,False
2019-07-21,81,False
2019-07-28,58,False
2019-08-04,61,False
2019-08-11,34,False
2019-08-18,40,False
2019-08-25,40,False
2019-09-01,14,False
2019-09-08,11,False
2019-09-15,36,False
2019-09-22,17,False
2019-09-29,20,False
2019-10-06,24,False
2019-10-13,26,False
2019-10-20,15,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,10,False
2019-11-17,19,False
2019-11-24,9,False
2019-12-01,25,False
2019-12-08,14,False
2019-12-15,14,False
2019-12-22,21,False
2019-12-29,0,False
2020-01-05,13,False
2020-01-12,9,False
2020-01-19,23,False
2020-01-26,9,False
2020-02-02,9,False
2020-02-09,25,False
2020-02-16,14,False
2020-02-23,24,False
2020-03-01,15,False
2020-03-08,17,False
2020-03-15,17,False
2020-03-22,8,False
2020-03-29,15,False
2020-04-05,11,False
2020-04-12,12,False
2020-04-19,12,False
2020-04-26,8,False
2020-05-03,33,False
2020-05-10,24,False
2020-05-17,36,True
