date,Heizkörper entlüften,isPartial
2018-01-07,36,False
2018-01-14,31,False
2018-01-21,16,False
2018-01-28,30,False
2018-02-04,35,False
2018-02-11,43,False
2018-02-18,28,False
2018-02-25,56,False
2018-03-04,27,False
2018-03-11,16,False
2018-03-18,25,False
2018-03-25,9,False
2018-04-01,7,False
2018-04-08,7,False
2018-04-15,7,False
2018-04-22,4,False
2018-04-29,5,False
2018-05-06,0,False
2018-05-13,4,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,4,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,9,False
2018-07-08,9,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,5,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,9,False
2018-08-26,11,False
2018-09-02,9,False
2018-09-09,7,False
2018-09-16,7,False
2018-09-23,81,False
2018-09-30,100,False
2018-10-07,20,False
2018-10-14,16,False
2018-10-21,61,False
2018-10-28,61,False
2018-11-04,39,False
2018-11-11,36,False
2018-11-18,85,False
2018-11-25,36,False
2018-12-02,30,False
2018-12-09,53,False
2018-12-16,41,False
2018-12-23,23,False
2018-12-30,45,False
2019-01-06,35,False
2019-01-13,36,False
2019-01-20,64,False
2019-01-27,32,False
2019-02-03,19,False
2019-02-10,15,False
2019-02-17,10,False
2019-02-24,13,False
2019-03-03,15,False
2019-03-10,20,False
2019-03-17,14,False
2019-03-24,8,False
2019-03-31,7,False
2019-04-07,7,False
2019-04-14,7,False
2019-04-21,4,False
2019-04-28,5,False
2019-05-05,5,False
2019-05-12,6,False
2019-05-19,6,False
2019-05-26,4,False
2019-06-02,4,False
2019-06-09,4,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,4,False
2019-07-14,9,False
2019-07-21,0,False
2019-07-28,4,False
2019-08-04,4,False
2019-08-11,4,False
2019-08-18,4,False
2019-08-25,0,False
2019-09-01,5,False
2019-09-08,29,False
2019-09-15,18,False
2019-09-22,26,False
2019-09-29,68,False
2019-10-06,52,False
2019-10-13,19,False
2019-10-20,30,False
2019-10-27,54,False
2019-11-03,53,False
2019-11-10,62,False
2019-11-17,57,False
2019-11-24,33,False
2019-12-01,52,False
2019-12-08,41,False
2019-12-15,37,False
2019-12-22,29,False
2019-12-29,63,False
2020-01-05,31,False
2020-01-12,30,False
2020-01-19,31,False
2020-01-26,26,False
2020-02-02,22,False
2020-02-09,20,False
2020-02-16,12,False
2020-02-23,13,False
2020-03-01,19,False
2020-03-08,15,False
2020-03-15,17,False
2020-03-22,14,False
2020-03-29,20,False
2020-04-05,11,False
2020-04-12,9,False
2020-04-19,3,False
2020-04-26,10,False
2020-05-03,12,False
2020-05-10,10,False
