date,empresas catering,isPartial
2018-01-07,25,False
2018-01-14,0,False
2018-01-21,37,False
2018-01-28,0,False
2018-02-04,24,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,36,False
2018-03-18,25,False
2018-03-25,32,False
2018-04-01,0,False
2018-04-08,23,False
2018-04-15,0,False
2018-04-22,48,False
2018-04-29,0,False
2018-05-06,48,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,24,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,26,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,29,False
2018-07-22,30,False
2018-07-29,31,False
2018-08-05,0,False
2018-08-12,36,False
2018-08-19,100,False
2018-08-26,0,False
2018-09-02,25,False
2018-09-09,50,False
2018-09-16,0,False
2018-09-23,59,False
2018-09-30,24,False
2018-10-07,75,False
2018-10-14,96,False
2018-10-21,47,False
2018-10-28,50,False
2018-11-04,85,False
2018-11-11,56,False
2018-11-18,66,False
2018-11-25,43,False
2018-12-02,47,False
2018-12-09,48,False
2018-12-16,24,False
2018-12-23,44,False
2018-12-30,25,False
2019-01-06,61,False
2019-01-13,34,False
2019-01-20,21,False
2019-01-27,20,False
2019-02-03,46,False
2019-02-10,23,False
2019-02-17,0,False
2019-02-24,41,False
2019-03-03,36,False
2019-03-10,24,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,46,False
2019-04-07,31,False
2019-04-14,29,False
2019-04-21,23,False
2019-04-28,24,False
2019-05-05,42,False
2019-05-12,46,False
2019-05-19,23,False
2019-05-26,0,False
2019-06-02,43,False
2019-06-09,22,False
2019-06-16,47,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,48,False
2019-07-14,0,False
2019-07-21,53,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,48,False
2019-08-25,28,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,22,False
2019-09-29,54,False
2019-10-06,43,False
2019-10-13,21,False
2019-10-20,21,False
2019-10-27,22,False
2019-11-03,62,False
2019-11-10,62,False
2019-11-17,21,False
2019-11-24,50,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,21,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,22,False
2020-01-12,30,False
2020-01-19,0,False
2020-01-26,40,False
2020-02-02,20,False
2020-02-09,30,False
2020-02-16,20,False
2020-02-23,40,False
2020-03-01,39,False
2020-03-08,0,False
2020-03-15,30,False
2020-03-22,0,False
2020-03-29,19,False
2020-04-05,20,False
2020-04-12,33,True
