date,empresas catering,isPartial
2018-01-07,45,False
2018-01-14,38,False
2018-01-21,22,False
2018-01-28,74,False
2018-02-04,44,False
2018-02-11,46,False
2018-02-18,30,False
2018-02-25,36,False
2018-03-04,58,False
2018-03-11,44,False
2018-03-18,37,False
2018-03-25,33,False
2018-04-01,45,False
2018-04-08,99,False
2018-04-15,37,False
2018-04-22,72,False
2018-04-29,45,False
2018-05-06,79,False
2018-05-13,59,False
2018-05-20,45,False
2018-05-27,44,False
2018-06-03,28,False
2018-06-10,49,False
2018-06-17,54,False
2018-06-24,53,False
2018-07-01,23,False
2018-07-08,67,False
2018-07-15,31,False
2018-07-22,31,False
2018-07-29,40,False
2018-08-05,39,False
2018-08-12,32,False
2018-08-19,48,False
2018-08-26,54,False
2018-09-02,44,False
2018-09-09,58,False
2018-09-16,29,False
2018-09-23,43,False
2018-09-30,36,False
2018-10-07,60,False
2018-10-14,43,False
2018-10-21,36,False
2018-10-28,45,False
2018-11-04,49,False
2018-11-11,64,False
2018-11-18,49,False
2018-11-25,58,False
2018-12-02,23,False
2018-12-09,45,False
2018-12-16,23,False
2018-12-23,60,False
2018-12-30,49,False
2019-01-06,30,False
2019-01-13,71,False
2019-01-20,61,False
2019-01-27,54,False
2019-02-03,72,False
2019-02-10,43,False
2019-02-17,36,False
2019-02-24,28,False
2019-03-03,44,False
2019-03-10,52,False
2019-03-17,29,False
2019-03-24,51,False
2019-03-31,63,False
2019-04-07,42,False
2019-04-14,30,False
2019-04-21,100,False
2019-04-28,29,False
2019-05-05,56,False
2019-05-12,28,False
2019-05-19,70,False
2019-05-26,27,False
2019-06-02,27,False
2019-06-09,42,False
2019-06-16,50,False
2019-06-23,51,False
2019-06-30,43,False
2019-07-07,36,False
2019-07-14,15,False
2019-07-21,45,False
2019-07-28,23,False
2019-08-04,61,False
2019-08-11,31,False
2019-08-18,23,False
2019-08-25,85,False
2019-09-01,48,False
2019-09-08,67,False
2019-09-15,47,False
2019-09-22,60,False
2019-09-29,46,False
2019-10-06,33,False
2019-10-13,26,False
2019-10-20,65,False
2019-10-27,73,False
2019-11-03,38,False
2019-11-10,45,False
2019-11-17,32,False
2019-11-24,25,False
2019-12-01,79,False
2019-12-08,27,False
2019-12-15,26,False
2019-12-22,15,False
2019-12-29,14,False
2020-01-05,33,False
2020-01-12,36,False
2020-01-19,36,False
2020-01-26,50,False
2020-02-02,43,False
2020-02-09,62,False
2020-02-16,38,False
2020-02-23,55,False
2020-03-01,59,False
2020-03-08,41,False
2020-03-15,12,False
2020-03-22,27,False
2020-03-29,27,False
2020-04-05,29,False
2020-04-12,19,True
