date,Badrenovierung,isPartial
2018-01-07,25,False
2018-01-14,24,False
2018-01-21,48,False
2018-01-28,25,False
2018-02-04,25,False
2018-02-11,100,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,25,False
2018-03-11,50,False
2018-03-18,25,False
2018-03-25,53,False
2018-04-01,0,False
2018-04-08,39,False
2018-04-15,0,False
2018-04-22,26,False
2018-04-29,0,False
2018-05-06,27,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,27,False
2018-06-03,26,False
2018-06-10,37,False
2018-06-17,25,False
2018-06-24,42,False
2018-07-01,37,False
2018-07-08,0,False
2018-07-15,25,False
2018-07-22,34,False
2018-07-29,27,False
2018-08-05,27,False
2018-08-12,28,False
2018-08-19,57,False
2018-08-26,42,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,25,False
2018-09-23,38,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,50,False
2018-10-21,24,False
2018-10-28,25,False
2018-11-04,48,False
2018-11-11,48,False
2018-11-18,23,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,71,False
2018-12-16,25,False
2018-12-23,87,False
2018-12-30,26,False
2019-01-06,47,False
2019-01-13,23,False
2019-01-20,34,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,47,False
2019-02-24,24,False
2019-03-03,24,False
2019-03-10,23,False
2019-03-17,48,False
2019-03-24,32,False
2019-03-31,24,False
2019-04-07,23,False
2019-04-14,38,False
2019-04-21,25,False
2019-04-28,24,False
2019-05-05,23,False
2019-05-12,35,False
2019-05-19,23,False
2019-05-26,36,False
2019-06-02,48,False
2019-06-09,25,False
2019-06-16,37,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,23,False
2019-07-14,32,False
2019-07-21,25,False
2019-07-28,25,False
2019-08-04,26,False
2019-08-11,51,False
2019-08-18,26,False
2019-08-25,39,False
2019-09-01,0,False
2019-09-08,40,False
2019-09-15,72,False
2019-09-22,31,False
2019-09-29,47,False
2019-10-06,23,False
2019-10-13,37,False
2019-10-20,22,False
2019-10-27,45,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,43,False
2019-11-24,21,False
2019-12-01,30,False
2019-12-08,44,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,62,False
2020-01-05,0,False
2020-01-12,21,False
2020-01-19,42,False
2020-01-26,41,False
2020-02-02,31,False
2020-02-09,52,False
2020-02-16,36,False
2020-02-23,42,False
2020-03-01,61,False
2020-03-08,19,False
2020-03-15,19,False
2020-03-22,18,False
2020-03-29,28,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,19,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,19,False
