date,Badrenovierung,isPartial
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,35,False
2018-01-28,46,False
2018-02-04,35,False
2018-02-11,49,False
2018-02-18,24,False
2018-02-25,24,False
2018-03-04,48,False
2018-03-11,48,False
2018-03-18,24,False
2018-03-25,52,False
2018-04-01,40,False
2018-04-08,25,False
2018-04-15,50,False
2018-04-22,36,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,38,False
2018-05-27,26,False
2018-06-03,36,False
2018-06-10,23,False
2018-06-17,35,False
2018-06-24,35,False
2018-07-01,46,False
2018-07-08,30,False
2018-07-15,46,False
2018-07-22,23,False
2018-07-29,24,False
2018-08-05,50,False
2018-08-12,0,False
2018-08-19,26,False
2018-08-26,25,False
2018-09-02,25,False
2018-09-09,36,False
2018-09-16,24,False
2018-09-23,36,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,71,False
2018-10-21,59,False
2018-10-28,32,False
2018-11-04,31,False
2018-11-11,24,False
2018-11-18,22,False
2018-11-25,0,False
2018-12-02,38,False
2018-12-09,31,False
2018-12-16,24,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,22,False
2019-01-13,22,False
2019-01-20,43,False
2019-01-27,44,False
2019-02-03,44,False
2019-02-10,88,False
2019-02-17,22,False
2019-02-24,23,False
2019-03-03,46,False
2019-03-10,44,False
2019-03-17,58,False
2019-03-24,31,False
2019-03-31,24,False
2019-04-07,34,False
2019-04-14,25,False
2019-04-21,24,False
2019-04-28,23,False
2019-05-05,55,False
2019-05-12,56,False
2019-05-19,44,False
2019-05-26,58,False
2019-06-02,35,False
2019-06-09,24,False
2019-06-16,59,False
2019-06-23,47,False
2019-06-30,45,False
2019-07-07,21,False
2019-07-14,45,False
2019-07-21,47,False
2019-07-28,38,False
2019-08-04,32,False
2019-08-11,24,False
2019-08-18,37,False
2019-08-25,24,False
2019-09-01,38,False
2019-09-08,45,False
2019-09-15,46,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,21,False
2019-10-20,21,False
2019-10-27,0,False
2019-11-03,35,False
2019-11-10,28,False
2019-11-17,42,False
2019-11-24,0,False
2019-12-01,32,False
2019-12-08,0,False
2019-12-15,44,False
2019-12-22,50,False
2019-12-29,23,False
2020-01-05,41,False
2020-01-12,30,False
2020-01-19,51,False
2020-01-26,30,False
2020-02-02,100,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,27,False
2020-03-01,33,False
2020-03-08,38,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,20,False
2020-04-12,38,False
2020-04-19,28,False
2020-04-26,18,False
2020-05-03,37,False
2020-05-10,68,False
