date,flores ramos,isPartial
2018-01-07,26,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,53,False
2018-02-04,47,False
2018-02-11,86,False
2018-02-18,60,False
2018-02-25,42,False
2018-03-04,36,False
2018-03-11,62,False
2018-03-18,32,False
2018-03-25,49,False
2018-04-01,43,False
2018-04-08,35,False
2018-04-15,37,False
2018-04-22,36,False
2018-04-29,77,False
2018-05-06,67,False
2018-05-13,54,False
2018-05-20,31,False
2018-05-27,51,False
2018-06-03,26,False
2018-06-10,21,False
2018-06-17,22,False
2018-06-24,45,False
2018-07-01,41,False
2018-07-08,41,False
2018-07-15,81,False
2018-07-22,71,False
2018-07-29,47,False
2018-08-05,22,False
2018-08-12,39,False
2018-08-19,43,False
2018-08-26,19,False
2018-09-02,44,False
2018-09-09,75,False
2018-09-16,41,False
2018-09-23,41,False
2018-09-30,20,False
2018-10-07,48,False
2018-10-14,31,False
2018-10-21,46,False
2018-10-28,48,False
2018-11-04,32,False
2018-11-11,38,False
2018-11-18,24,False
2018-11-25,23,False
2018-12-02,20,False
2018-12-09,41,False
2018-12-16,31,False
2018-12-23,13,False
2018-12-30,33,False
2019-01-06,21,False
2019-01-13,25,False
2019-01-20,33,False
2019-01-27,35,False
2019-02-03,40,False
2019-02-10,64,False
2019-02-17,25,False
2019-02-24,40,False
2019-03-03,46,False
2019-03-10,21,False
2019-03-17,26,False
2019-03-24,52,False
2019-03-31,30,False
2019-04-07,62,False
2019-04-14,38,False
2019-04-21,20,False
2019-04-28,48,False
2019-05-05,72,False
2019-05-12,50,False
2019-05-19,54,False
2019-05-26,29,False
2019-06-02,33,False
2019-06-09,70,False
2019-06-16,61,False
2019-06-23,42,False
2019-06-30,44,False
2019-07-07,52,False
2019-07-14,46,False
2019-07-21,34,False
2019-07-28,52,False
2019-08-04,28,False
2019-08-11,30,False
2019-08-18,35,False
2019-08-25,54,False
2019-09-01,44,False
2019-09-08,39,False
2019-09-15,28,False
2019-09-22,33,False
2019-09-29,24,False
2019-10-06,37,False
2019-10-13,18,False
2019-10-20,46,False
2019-10-27,38,False
2019-11-03,40,False
2019-11-10,26,False
2019-11-17,13,False
2019-11-24,26,False
2019-12-01,28,False
2019-12-08,34,False
2019-12-15,14,False
2019-12-22,22,False
2019-12-29,33,False
2020-01-05,28,False
2020-01-12,26,False
2020-01-19,30,False
2020-01-26,34,False
2020-02-02,39,False
2020-02-09,100,False
2020-02-16,48,False
2020-02-23,26,False
2020-03-01,34,False
2020-03-08,29,False
2020-03-15,26,False
2020-03-22,17,False
2020-03-29,13,False
2020-04-05,35,False
2020-04-12,72,True
