date,Streichputz,isPartial
2018-01-07,74,False
2018-01-14,39,False
2018-01-21,0,False
2018-01-28,44,False
2018-02-04,30,False
2018-02-11,31,False
2018-02-18,31,False
2018-02-25,30,False
2018-03-04,0,False
2018-03-11,30,False
2018-03-18,61,False
2018-03-25,66,False
2018-04-01,83,False
2018-04-08,63,False
2018-04-15,32,False
2018-04-22,31,False
2018-04-29,95,False
2018-05-06,32,False
2018-05-13,30,False
2018-05-20,32,False
2018-05-27,65,False
2018-06-03,31,False
2018-06-10,0,False
2018-06-17,29,False
2018-06-24,44,False
2018-07-01,29,False
2018-07-08,29,False
2018-07-15,0,False
2018-07-22,59,False
2018-07-29,30,False
2018-08-05,47,False
2018-08-12,100,False
2018-08-19,33,False
2018-08-26,32,False
2018-09-02,42,False
2018-09-09,46,False
2018-09-16,0,False
2018-09-23,41,False
2018-09-30,41,False
2018-10-07,30,False
2018-10-14,30,False
2018-10-21,45,False
2018-10-28,75,False
2018-11-04,29,False
2018-11-11,87,False
2018-11-18,28,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,29,False
2018-12-16,30,False
2018-12-23,35,False
2018-12-30,32,False
2019-01-06,70,False
2019-01-13,64,False
2019-01-20,27,False
2019-01-27,37,False
2019-02-03,55,False
2019-02-10,28,False
2019-02-17,42,False
2019-02-24,58,False
2019-03-03,29,False
2019-03-10,56,False
2019-03-17,59,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,43,False
2019-04-14,32,False
2019-04-21,31,False
2019-04-28,0,False
2019-05-05,57,False
2019-05-12,66,False
2019-05-19,47,False
2019-05-26,30,False
2019-06-02,29,False
2019-06-09,30,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,57,False
2019-07-07,41,False
2019-07-14,29,False
2019-07-21,0,False
2019-07-28,39,False
2019-08-04,30,False
2019-08-11,62,False
2019-08-18,31,False
2019-08-25,0,False
2019-09-01,43,False
2019-09-08,28,False
2019-09-15,0,False
2019-09-22,46,False
2019-09-29,28,False
2019-10-06,41,False
2019-10-13,27,False
2019-10-20,27,False
2019-10-27,40,False
2019-11-03,26,False
2019-11-10,0,False
2019-11-17,27,False
2019-11-24,53,False
2019-12-01,56,False
2019-12-08,27,False
2019-12-15,28,False
2019-12-22,48,False
2019-12-29,0,False
2020-01-05,52,False
2020-01-12,25,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,0,False
2020-02-09,99,False
2020-02-16,26,False
2020-02-23,51,False
2020-03-01,25,False
2020-03-08,24,False
2020-03-15,46,False
2020-03-22,23,False
2020-03-29,23,False
2020-04-05,64,False
2020-04-12,37,False
2020-04-19,24,False
2020-04-26,23,False
2020-05-03,35,False
2020-05-10,35,False
