date,Fassadenbau,isPartial
2018-01-07,52,False
2018-01-14,0,False
2018-01-21,26,False
2018-01-28,26,False
2018-02-04,40,False
2018-02-11,28,False
2018-02-18,0,False
2018-02-25,41,False
2018-03-04,0,False
2018-03-11,36,False
2018-03-18,55,False
2018-03-25,29,False
2018-04-01,40,False
2018-04-08,56,False
2018-04-15,42,False
2018-04-22,28,False
2018-04-29,0,False
2018-05-06,28,False
2018-05-13,40,False
2018-05-20,29,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,43,False
2018-06-17,52,False
2018-06-24,39,False
2018-07-01,39,False
2018-07-08,26,False
2018-07-15,52,False
2018-07-22,26,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,29,False
2018-08-19,29,False
2018-08-26,72,False
2018-09-02,42,False
2018-09-09,68,False
2018-09-16,41,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,27,False
2018-10-14,27,False
2018-10-21,27,False
2018-10-28,27,False
2018-11-04,26,False
2018-11-11,0,False
2018-11-18,38,False
2018-11-25,26,False
2018-12-02,51,False
2018-12-09,52,False
2018-12-16,27,False
2018-12-23,31,False
2018-12-30,0,False
2019-01-06,25,False
2019-01-13,61,False
2019-01-20,37,False
2019-01-27,0,False
2019-02-03,24,False
2019-02-10,25,False
2019-02-17,50,False
2019-02-24,0,False
2019-03-03,39,False
2019-03-10,25,False
2019-03-17,26,False
2019-03-24,53,False
2019-03-31,27,False
2019-04-07,26,False
2019-04-14,28,False
2019-04-21,27,False
2019-04-28,51,False
2019-05-05,37,False
2019-05-12,100,False
2019-05-19,25,False
2019-05-26,26,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,27,False
2019-06-23,26,False
2019-06-30,25,False
2019-07-07,49,False
2019-07-14,38,False
2019-07-21,27,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,41,False
2019-08-18,28,False
2019-08-25,27,False
2019-09-01,51,False
2019-09-08,38,False
2019-09-15,39,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,25,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,47,False
2019-11-03,47,False
2019-11-10,24,False
2019-11-17,72,False
2019-11-24,23,False
2019-12-01,37,False
2019-12-08,0,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,46,False
2020-01-12,0,False
2020-01-19,35,False
2020-01-26,23,False
2020-02-02,23,False
2020-02-09,29,False
2020-02-16,0,False
2020-02-23,23,False
2020-03-01,33,False
2020-03-08,21,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,42,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,42,False
2020-04-26,0,False
2020-05-03,32,False
2020-05-10,21,False
