date,Folierer,isPartial
2018-01-07,45,False
2018-01-14,44,False
2018-01-21,44,False
2018-01-28,45,False
2018-02-04,45,False
2018-02-11,45,False
2018-02-18,0,False
2018-02-25,45,False
2018-03-04,44,False
2018-03-11,0,False
2018-03-18,46,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,46,False
2018-04-15,70,False
2018-04-22,44,False
2018-04-29,46,False
2018-05-06,95,False
2018-05-13,45,False
2018-05-20,46,False
2018-05-27,44,False
2018-06-03,67,False
2018-06-10,44,False
2018-06-17,44,False
2018-06-24,45,False
2018-07-01,47,False
2018-07-08,47,False
2018-07-15,100,False
2018-07-22,94,False
2018-07-29,0,False
2018-08-05,42,False
2018-08-12,42,False
2018-08-19,42,False
2018-08-26,0,False
2018-09-02,44,False
2018-09-09,0,False
2018-09-16,45,False
2018-09-23,45,False
2018-09-30,70,False
2018-10-07,0,False
2018-10-14,66,False
2018-10-21,0,False
2018-10-28,86,False
2018-11-04,43,False
2018-11-11,44,False
2018-11-18,85,False
2018-11-25,44,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,45,False
2018-12-23,0,False
2018-12-30,46,False
2019-01-06,41,False
2019-01-13,41,False
2019-01-20,41,False
2019-01-27,84,False
2019-02-03,42,False
2019-02-10,0,False
2019-02-17,43,False
2019-02-24,44,False
2019-03-03,42,False
2019-03-10,41,False
2019-03-17,64,False
2019-03-24,65,False
2019-03-31,43,False
2019-04-07,45,False
2019-04-14,47,False
2019-04-21,89,False
2019-04-28,43,False
2019-05-05,42,False
2019-05-12,0,False
2019-05-19,63,False
2019-05-26,43,False
2019-06-02,83,False
2019-06-09,41,False
2019-06-16,84,False
2019-06-23,43,False
2019-06-30,42,False
2019-07-07,0,False
2019-07-14,90,False
2019-07-21,71,False
2019-07-28,66,False
2019-08-04,44,False
2019-08-11,59,False
2019-08-18,63,False
2019-08-25,0,False
2019-09-01,80,False
2019-09-08,0,False
2019-09-15,55,False
2019-09-22,61,False
2019-09-29,42,False
2019-10-06,41,False
2019-10-13,40,False
2019-10-20,60,False
2019-10-27,59,False
2019-11-03,39,False
2019-11-10,39,False
2019-11-17,39,False
2019-11-24,57,False
2019-12-01,38,False
2019-12-08,39,False
2019-12-15,40,False
2019-12-22,43,False
2019-12-29,0,False
2020-01-05,37,False
2020-01-12,36,False
2020-01-19,38,False
2020-01-26,75,False
2020-02-02,73,False
2020-02-09,36,False
2020-02-16,38,False
2020-02-23,92,False
2020-03-01,37,False
2020-03-08,68,False
2020-03-15,69,False
2020-03-22,35,False
2020-03-29,34,False
2020-04-05,37,False
2020-04-12,72,False
2020-04-19,35,False
2020-04-26,67,False
2020-05-03,52,False
2020-05-10,67,False
