date,Folierer,isPartial
2018-01-07,63,False
2018-01-14,46,False
2018-01-21,78,False
2018-01-28,54,False
2018-02-04,32,False
2018-02-11,48,False
2018-02-18,40,False
2018-02-25,55,False
2018-03-04,35,False
2018-03-11,100,False
2018-03-18,75,False
2018-03-25,59,False
2018-04-01,47,False
2018-04-08,73,False
2018-04-15,75,False
2018-04-22,60,False
2018-04-29,66,False
2018-05-06,71,False
2018-05-13,48,False
2018-05-20,55,False
2018-05-27,77,False
2018-06-03,68,False
2018-06-10,62,False
2018-06-17,55,False
2018-06-24,60,False
2018-07-01,36,False
2018-07-08,48,False
2018-07-15,33,False
2018-07-22,53,False
2018-07-29,41,False
2018-08-05,43,False
2018-08-12,50,False
2018-08-19,78,False
2018-08-26,65,False
2018-09-02,44,False
2018-09-09,48,False
2018-09-16,68,False
2018-09-23,24,False
2018-09-30,40,False
2018-10-07,44,False
2018-10-14,40,False
2018-10-21,59,False
2018-10-28,43,False
2018-11-04,46,False
2018-11-11,35,False
2018-11-18,45,False
2018-11-25,54,False
2018-12-02,27,False
2018-12-09,46,False
2018-12-16,55,False
2018-12-23,18,False
2018-12-30,37,False
2019-01-06,40,False
2019-01-13,36,False
2019-01-20,54,False
2019-01-27,72,False
2019-02-03,48,False
2019-02-10,41,False
2019-02-17,83,False
2019-02-24,65,False
2019-03-03,55,False
2019-03-10,77,False
2019-03-17,81,False
2019-03-24,65,False
2019-03-31,69,False
2019-04-07,86,False
2019-04-14,54,False
2019-04-21,36,False
2019-04-28,90,False
2019-05-05,81,False
2019-05-12,49,False
2019-05-19,78,False
2019-05-26,93,False
2019-06-02,60,False
2019-06-09,58,False
2019-06-16,81,False
2019-06-23,77,False
2019-06-30,72,False
2019-07-07,86,False
2019-07-14,66,False
2019-07-21,57,False
2019-07-28,40,False
2019-08-04,64,False
2019-08-11,50,False
2019-08-18,66,False
2019-08-25,53,False
2019-09-01,52,False
2019-09-08,45,False
2019-09-15,49,False
2019-09-22,29,False
2019-09-29,48,False
2019-10-06,48,False
2019-10-13,54,False
2019-10-20,36,False
2019-10-27,54,False
2019-11-03,38,False
2019-11-10,42,False
2019-11-17,52,False
2019-11-24,38,False
2019-12-01,49,False
2019-12-08,39,False
2019-12-15,54,False
2019-12-22,41,False
2019-12-29,57,False
2020-01-05,64,False
2020-01-12,52,False
2020-01-19,50,False
2020-01-26,76,False
2020-02-02,60,False
2020-02-09,36,False
2020-02-16,81,False
2020-02-23,49,False
2020-03-01,65,False
2020-03-08,64,False
2020-03-15,63,False
2020-03-22,36,False
2020-03-29,42,False
2020-04-05,82,False
2020-04-12,66,False
2020-04-19,79,False
2020-04-26,53,False
2020-05-03,78,False
2020-05-10,91,False
