date,Blumen Hochzeit,isPartial
2018-01-07,42,False
2018-01-14,20,False
2018-01-21,51,False
2018-01-28,21,False
2018-02-04,85,False
2018-02-11,21,False
2018-02-18,21,False
2018-02-25,32,False
2018-03-04,21,False
2018-03-11,42,False
2018-03-18,21,False
2018-03-25,57,False
2018-04-01,46,False
2018-04-08,0,False
2018-04-15,33,False
2018-04-22,22,False
2018-04-29,90,False
2018-05-06,34,False
2018-05-13,87,False
2018-05-20,82,False
2018-05-27,47,False
2018-06-03,89,False
2018-06-10,42,False
2018-06-17,21,False
2018-06-24,75,False
2018-07-01,32,False
2018-07-08,42,False
2018-07-15,54,False
2018-07-22,44,False
2018-07-29,57,False
2018-08-05,58,False
2018-08-12,24,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,23,False
2018-09-09,44,False
2018-09-16,22,False
2018-09-23,22,False
2018-09-30,65,False
2018-10-07,43,False
2018-10-14,21,False
2018-10-21,42,False
2018-10-28,21,False
2018-11-04,61,False
2018-11-11,21,False
2018-11-18,30,False
2018-11-25,31,False
2018-12-02,31,False
2018-12-09,20,False
2018-12-16,42,False
2018-12-23,24,False
2018-12-30,33,False
2019-01-06,49,False
2019-01-13,39,False
2019-01-20,20,False
2019-01-27,58,False
2019-02-03,29,False
2019-02-10,20,False
2019-02-17,100,False
2019-02-24,82,False
2019-03-03,20,False
2019-03-10,19,False
2019-03-17,51,False
2019-03-24,51,False
2019-03-31,40,False
2019-04-07,30,False
2019-04-14,33,False
2019-04-21,21,False
2019-04-28,61,False
2019-05-05,58,False
2019-05-12,50,False
2019-05-19,20,False
2019-05-26,51,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,53,False
2019-06-23,81,False
2019-06-30,89,False
2019-07-07,39,False
2019-07-14,41,False
2019-07-21,32,False
2019-07-28,43,False
2019-08-04,22,False
2019-08-11,86,False
2019-08-18,22,False
2019-08-25,34,False
2019-09-01,42,False
2019-09-08,82,False
2019-09-15,20,False
2019-09-22,20,False
2019-09-29,0,False
2019-10-06,19,False
2019-10-13,38,False
2019-10-20,19,False
2019-10-27,19,False
2019-11-03,28,False
2019-11-10,19,False
2019-11-17,37,False
2019-11-24,0,False
2019-12-01,19,False
2019-12-08,0,False
2019-12-15,19,False
2019-12-22,33,False
2019-12-29,0,False
2020-01-05,18,False
2020-01-12,35,False
2020-01-19,18,False
2020-01-26,18,False
2020-02-02,44,False
2020-02-09,35,False
2020-02-16,74,False
2020-02-23,53,False
2020-03-01,17,False
2020-03-08,24,False
2020-03-15,16,False
2020-03-22,23,False
2020-03-29,16,False
2020-04-05,18,False
2020-04-12,0,True
