date,Lieferservice Lebensmittel,isPartial
2018-01-07,5,False
2018-01-14,11,False
2018-01-21,11,False
2018-01-28,8,False
2018-02-04,4,False
2018-02-11,4,False
2018-02-18,5,False
2018-02-25,8,False
2018-03-04,8,False
2018-03-11,8,False
2018-03-18,10,False
2018-03-25,4,False
2018-04-01,7,False
2018-04-08,6,False
2018-04-15,8,False
2018-04-22,6,False
2018-04-29,0,False
2018-05-06,4,False
2018-05-13,6,False
2018-05-20,4,False
2018-05-27,6,False
2018-06-03,4,False
2018-06-10,8,False
2018-06-17,4,False
2018-06-24,0,False
2018-07-01,4,False
2018-07-08,4,False
2018-07-15,9,False
2018-07-22,5,False
2018-07-29,12,False
2018-08-05,7,False
2018-08-12,8,False
2018-08-19,7,False
2018-08-26,11,False
2018-09-02,8,False
2018-09-09,4,False
2018-09-16,6,False
2018-09-23,4,False
2018-09-30,3,False
2018-10-07,3,False
2018-10-14,4,False
2018-10-21,6,False
2018-10-28,4,False
2018-11-04,4,False
2018-11-11,5,False
2018-11-18,4,False
2018-11-25,6,False
2018-12-02,5,False
2018-12-09,6,False
2018-12-16,4,False
2018-12-23,0,False
2018-12-30,9,False
2019-01-06,8,False
2019-01-13,3,False
2019-01-20,4,False
2019-01-27,3,False
2019-02-03,4,False
2019-02-10,4,False
2019-02-17,4,False
2019-02-24,8,False
2019-03-03,5,False
2019-03-10,4,False
2019-03-17,5,False
2019-03-24,5,False
2019-03-31,6,False
2019-04-07,6,False
2019-04-14,14,False
2019-04-21,9,False
2019-04-28,3,False
2019-05-05,4,False
2019-05-12,8,False
2019-05-19,4,False
2019-05-26,0,False
2019-06-02,11,False
2019-06-09,8,False
2019-06-16,6,False
2019-06-23,4,False
2019-06-30,4,False
2019-07-07,4,False
2019-07-14,8,False
2019-07-21,9,False
2019-07-28,4,False
2019-08-04,4,False
2019-08-11,4,False
2019-08-18,5,False
2019-08-25,0,False
2019-09-01,4,False
2019-09-08,5,False
2019-09-15,4,False
2019-09-22,4,False
2019-09-29,7,False
2019-10-06,0,False
2019-10-13,6,False
2019-10-20,4,False
2019-10-27,4,False
2019-11-03,3,False
2019-11-10,4,False
2019-11-17,4,False
2019-11-24,7,False
2019-12-01,7,False
2019-12-08,4,False
2019-12-15,8,False
2019-12-22,5,False
2019-12-29,0,False
2020-01-05,3,False
2020-01-12,14,False
2020-01-19,4,False
2020-01-26,5,False
2020-02-02,15,False
2020-02-09,3,False
2020-02-16,7,False
2020-02-23,7,False
2020-03-01,8,False
2020-03-08,22,False
2020-03-15,100,False
2020-03-22,70,False
2020-03-29,45,False
2020-04-05,9,False
2020-04-12,11,False
2020-04-19,5,False
2020-04-26,10,False
2020-05-03,8,False
2020-05-10,7,False
2020-05-17,16,True
