date,camicia bianca,isPartial
2018-01-07,23,False
2018-01-14,22,False
2018-01-21,21,False
2018-01-28,0,False
2018-02-04,21,False
2018-02-11,23,False
2018-02-18,44,False
2018-02-25,43,False
2018-03-04,22,False
2018-03-11,22,False
2018-03-18,23,False
2018-03-25,94,False
2018-04-01,0,False
2018-04-08,33,False
2018-04-15,47,False
2018-04-22,36,False
2018-04-29,23,False
2018-05-06,45,False
2018-05-13,23,False
2018-05-20,45,False
2018-05-27,46,False
2018-06-03,23,False
2018-06-10,77,False
2018-06-17,60,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,98,False
2018-07-15,38,False
2018-07-22,52,False
2018-07-29,27,False
2018-08-05,0,False
2018-08-12,67,False
2018-08-19,62,False
2018-08-26,79,False
2018-09-02,25,False
2018-09-09,49,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,25,False
2018-10-14,0,False
2018-10-21,24,False
2018-10-28,71,False
2018-11-04,22,False
2018-11-11,23,False
2018-11-18,33,False
2018-11-25,22,False
2018-12-02,23,False
2018-12-09,0,False
2018-12-16,24,False
2018-12-23,27,False
2018-12-30,75,False
2019-01-06,45,False
2019-01-13,33,False
2019-01-20,31,False
2019-01-27,21,False
2019-02-03,0,False
2019-02-10,21,False
2019-02-17,64,False
2019-02-24,44,False
2019-03-03,23,False
2019-03-10,22,False
2019-03-17,22,False
2019-03-24,89,False
2019-03-31,32,False
2019-04-07,42,False
2019-04-14,44,False
2019-04-21,36,False
2019-04-28,23,False
2019-05-05,44,False
2019-05-12,33,False
2019-05-19,64,False
2019-05-26,31,False
2019-06-02,32,False
2019-06-09,31,False
2019-06-16,0,False
2019-06-23,23,False
2019-06-30,22,False
2019-07-07,100,False
2019-07-14,45,False
2019-07-21,71,False
2019-07-28,37,False
2019-08-04,51,False
2019-08-11,57,False
2019-08-18,77,False
2019-08-25,22,False
2019-09-01,31,False
2019-09-08,21,False
2019-09-15,41,False
2019-09-22,21,False
2019-09-29,21,False
2019-10-06,53,False
2019-10-13,0,False
2019-10-20,49,False
2019-10-27,60,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,20,False
2019-11-24,58,False
2019-12-01,30,False
2019-12-08,62,False
2019-12-15,20,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,38,False
2020-01-12,18,False
2020-01-19,37,False
2020-01-26,28,False
2020-02-02,36,False
2020-02-09,19,False
2020-02-16,37,False
2020-02-23,17,False
2020-03-01,0,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,26,False
2020-04-12,52,False
2020-04-19,0,False
2020-04-26,42,True
