date,camicia bianca,isPartial
2018-01-07,47,False
2018-01-14,0,False
2018-01-21,69,False
2018-01-28,46,False
2018-02-04,57,False
2018-02-11,46,False
2018-02-18,22,False
2018-02-25,0,False
2018-03-04,45,False
2018-03-11,45,False
2018-03-18,47,False
2018-03-25,24,False
2018-04-01,50,False
2018-04-08,47,False
2018-04-15,24,False
2018-04-22,74,False
2018-04-29,35,False
2018-05-06,34,False
2018-05-13,35,False
2018-05-20,24,False
2018-05-27,0,False
2018-06-03,58,False
2018-06-10,57,False
2018-06-17,58,False
2018-06-24,36,False
2018-07-01,68,False
2018-07-08,45,False
2018-07-15,35,False
2018-07-22,24,False
2018-07-29,49,False
2018-08-05,26,False
2018-08-12,28,False
2018-08-19,38,False
2018-08-26,23,False
2018-09-02,46,False
2018-09-09,23,False
2018-09-16,0,False
2018-09-23,23,False
2018-09-30,58,False
2018-10-07,0,False
2018-10-14,23,False
2018-10-21,35,False
2018-10-28,45,False
2018-11-04,44,False
2018-11-11,46,False
2018-11-18,45,False
2018-11-25,23,False
2018-12-02,47,False
2018-12-09,23,False
2018-12-16,25,False
2018-12-23,45,False
2018-12-30,70,False
2019-01-06,72,False
2019-01-13,23,False
2019-01-20,22,False
2019-01-27,23,False
2019-02-03,22,False
2019-02-10,23,False
2019-02-17,0,False
2019-02-24,23,False
2019-03-03,23,False
2019-03-10,46,False
2019-03-17,23,False
2019-03-24,35,False
2019-03-31,0,False
2019-04-07,23,False
2019-04-14,24,False
2019-04-21,53,False
2019-04-28,48,False
2019-05-05,69,False
2019-05-12,76,False
2019-05-19,33,False
2019-05-26,64,False
2019-06-02,35,False
2019-06-09,0,False
2019-06-16,46,False
2019-06-23,24,False
2019-06-30,47,False
2019-07-07,21,False
2019-07-14,33,False
2019-07-21,23,False
2019-07-28,46,False
2019-08-04,100,False
2019-08-11,27,False
2019-08-18,23,False
2019-08-25,42,False
2019-09-01,30,False
2019-09-08,21,False
2019-09-15,31,False
2019-09-22,21,False
2019-09-29,42,False
2019-10-06,54,False
2019-10-13,33,False
2019-10-20,42,False
2019-10-27,32,False
2019-11-03,31,False
2019-11-10,20,False
2019-11-17,41,False
2019-11-24,20,False
2019-12-01,21,False
2019-12-08,21,False
2019-12-15,33,False
2019-12-22,52,False
2019-12-29,25,False
2020-01-05,21,False
2020-01-12,19,False
2020-01-19,19,False
2020-01-26,39,False
2020-02-02,19,False
2020-02-09,60,False
2020-02-16,29,False
2020-02-23,36,False
2020-03-01,18,False
2020-03-08,18,False
2020-03-15,27,False
2020-03-22,0,False
2020-03-29,17,False
2020-04-05,36,False
2020-04-12,0,False
2020-04-19,17,False
2020-04-26,29,True
