date,jouer la guitare,isPartial
2018-01-07,54,False
2018-01-14,27,False
2018-01-21,88,False
2018-01-28,37,False
2018-02-04,41,False
2018-02-11,0,False
2018-02-18,27,False
2018-02-25,34,False
2018-03-04,35,False
2018-03-11,26,False
2018-03-18,41,False
2018-03-25,46,False
2018-04-01,28,False
2018-04-08,38,False
2018-04-15,52,False
2018-04-22,0,False
2018-04-29,55,False
2018-05-06,30,False
2018-05-13,28,False
2018-05-20,58,False
2018-05-27,56,False
2018-06-03,38,False
2018-06-10,27,False
2018-06-17,38,False
2018-06-24,29,False
2018-07-01,84,False
2018-07-08,29,False
2018-07-15,40,False
2018-07-22,0,False
2018-07-29,30,False
2018-08-05,46,False
2018-08-12,0,False
2018-08-19,61,False
2018-08-26,58,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,29,False
2018-09-23,48,False
2018-09-30,38,False
2018-10-07,43,False
2018-10-14,49,False
2018-10-21,59,False
2018-10-28,38,False
2018-11-04,37,False
2018-11-11,28,False
2018-11-18,41,False
2018-11-25,56,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,57,False
2018-12-23,31,False
2018-12-30,48,False
2019-01-06,0,False
2019-01-13,55,False
2019-01-20,80,False
2019-01-27,26,False
2019-02-03,40,False
2019-02-10,27,False
2019-02-17,42,False
2019-02-24,28,False
2019-03-03,52,False
2019-03-10,0,False
2019-03-17,28,False
2019-03-24,40,False
2019-03-31,26,False
2019-04-07,26,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,26,False
2019-05-05,34,False
2019-05-12,26,False
2019-05-19,39,False
2019-05-26,81,False
2019-06-02,26,False
2019-06-09,33,False
2019-06-16,40,False
2019-06-23,39,False
2019-06-30,26,False
2019-07-07,34,False
2019-07-14,53,False
2019-07-21,54,False
2019-07-28,27,False
2019-08-04,0,False
2019-08-11,59,False
2019-08-18,74,False
2019-08-25,46,False
2019-09-01,100,False
2019-09-08,75,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,51,False
2019-10-06,26,False
2019-10-13,25,False
2019-10-20,25,False
2019-10-27,24,False
2019-11-03,40,False
2019-11-10,24,False
2019-11-17,32,False
2019-11-24,23,False
2019-12-01,23,False
2019-12-08,31,False
2019-12-15,36,False
2019-12-22,52,False
2019-12-29,37,False
2020-01-05,23,False
2020-01-12,69,False
2020-01-19,23,False
2020-01-26,67,False
2020-02-02,23,False
2020-02-09,44,False
2020-02-16,22,False
2020-02-23,43,False
2020-03-01,22,False
2020-03-08,43,False
2020-03-15,31,False
2020-03-22,30,False
2020-03-29,68,False
2020-04-05,82,False
2020-04-12,75,False
2020-04-19,56,False
2020-04-26,39,False
2020-05-03,40,False
2020-05-10,51,False
2020-05-17,39,True
