date,yoga pour enfants,isPartial
2018-01-07,26,False
2018-01-14,14,False
2018-01-21,11,False
2018-01-28,9,False
2018-02-04,14,False
2018-02-11,43,False
2018-02-18,9,False
2018-02-25,9,False
2018-03-04,9,False
2018-03-11,40,False
2018-03-18,22,False
2018-03-25,13,False
2018-04-01,9,False
2018-04-08,17,False
2018-04-15,9,False
2018-04-22,12,False
2018-04-29,18,False
2018-05-06,18,False
2018-05-13,17,False
2018-05-20,13,False
2018-05-27,13,False
2018-06-03,17,False
2018-06-10,14,False
2018-06-17,9,False
2018-06-24,9,False
2018-07-01,9,False
2018-07-08,18,False
2018-07-15,19,False
2018-07-22,0,False
2018-07-29,14,False
2018-08-05,14,False
2018-08-12,10,False
2018-08-19,9,False
2018-08-26,9,False
2018-09-02,31,False
2018-09-09,26,False
2018-09-16,15,False
2018-09-23,26,False
2018-09-30,18,False
2018-10-07,13,False
2018-10-14,13,False
2018-10-21,9,False
2018-10-28,13,False
2018-11-04,9,False
2018-11-11,26,False
2018-11-18,8,False
2018-11-25,9,False
2018-12-02,14,False
2018-12-09,17,False
2018-12-16,21,False
2018-12-23,20,False
2018-12-30,16,False
2019-01-06,9,False
2019-01-13,17,False
2019-01-20,12,False
2019-01-27,21,False
2019-02-03,8,False
2019-02-10,29,False
2019-02-17,9,False
2019-02-24,17,False
2019-03-03,21,False
2019-03-10,17,False
2019-03-17,21,False
2019-03-24,9,False
2019-03-31,17,False
2019-04-07,18,False
2019-04-14,9,False
2019-04-21,9,False
2019-04-28,17,False
2019-05-05,17,False
2019-05-12,9,False
2019-05-19,25,False
2019-05-26,9,False
2019-06-02,8,False
2019-06-09,16,False
2019-06-16,17,False
2019-06-23,13,False
2019-06-30,8,False
2019-07-07,14,False
2019-07-14,9,False
2019-07-21,9,False
2019-07-28,9,False
2019-08-04,14,False
2019-08-11,14,False
2019-08-18,18,False
2019-08-25,20,False
2019-09-01,14,False
2019-09-08,14,False
2019-09-15,11,False
2019-09-22,24,False
2019-09-29,11,False
2019-10-06,16,False
2019-10-13,16,False
2019-10-20,8,False
2019-10-27,16,False
2019-11-03,8,False
2019-11-10,8,False
2019-11-17,8,False
2019-11-24,18,False
2019-12-01,10,False
2019-12-08,18,False
2019-12-15,31,False
2019-12-22,9,False
2019-12-29,8,False
2020-01-05,10,False
2020-01-12,17,False
2020-01-19,10,False
2020-01-26,15,False
2020-02-02,11,False
2020-02-09,11,False
2020-02-16,23,False
2020-02-23,14,False
2020-03-01,7,False
2020-03-08,17,False
2020-03-15,100,False
2020-03-22,73,False
2020-03-29,60,False
2020-04-05,49,False
2020-04-12,25,False
2020-04-19,49,False
2020-04-26,36,False
2020-05-03,32,False
2020-05-10,33,False
2020-05-17,11,True
