date,Balkon sanieren,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,44,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,45,False
2018-03-04,45,False
2018-03-11,44,False
2018-03-18,45,False
2018-03-25,95,False
2018-04-01,49,False
2018-04-08,46,False
2018-04-15,47,False
2018-04-22,0,False
2018-04-29,47,False
2018-05-06,49,False
2018-05-13,0,False
2018-05-20,100,False
2018-05-27,50,False
2018-06-03,0,False
2018-06-10,44,False
2018-06-17,46,False
2018-06-24,0,False
2018-07-01,45,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,46,False
2018-07-29,48,False
2018-08-05,0,False
2018-08-12,51,False
2018-08-19,51,False
2018-08-26,50,False
2018-09-02,0,False
2018-09-09,46,False
2018-09-16,46,False
2018-09-23,46,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,44,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,47,False
2019-01-06,0,False
2019-01-13,41,False
2019-01-20,41,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,42,False
2019-02-17,42,False
2019-02-24,86,False
2019-03-03,86,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,43,False
2019-03-31,64,False
2019-04-07,42,False
2019-04-14,91,False
2019-04-21,45,False
2019-04-28,0,False
2019-05-05,41,False
2019-05-12,0,False
2019-05-19,41,False
2019-05-26,43,False
2019-06-02,0,False
2019-06-09,45,False
2019-06-16,0,False
2019-06-23,43,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,86,False
2019-07-21,0,False
2019-07-28,45,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,47,False
2019-08-25,0,False
2019-09-01,44,False
2019-09-08,43,False
2019-09-15,43,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,41,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,40,False
2019-12-08,39,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,37,False
2020-02-16,0,False
2020-02-23,38,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,34,False
2020-03-22,33,False
2020-03-29,33,False
2020-04-05,55,False
2020-04-12,71,False
2020-04-19,34,False
2020-04-26,33,False
2020-05-03,66,False
2020-05-10,33,False
