date,apprendre a dessiner,isPartial
2018-01-07,50,False
2018-01-14,77,False
2018-01-21,34,False
2018-01-28,33,False
2018-02-04,33,False
2018-02-11,34,False
2018-02-18,68,False
2018-02-25,34,False
2018-03-04,55,False
2018-03-11,33,False
2018-03-18,32,False
2018-03-25,49,False
2018-04-01,44,False
2018-04-08,100,False
2018-04-15,0,False
2018-04-22,68,False
2018-04-29,36,False
2018-05-06,35,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,54,False
2018-06-03,44,False
2018-06-10,48,False
2018-06-17,33,False
2018-06-24,67,False
2018-07-01,51,False
2018-07-08,0,False
2018-07-15,38,False
2018-07-22,38,False
2018-07-29,38,False
2018-08-05,58,False
2018-08-12,39,False
2018-08-19,0,False
2018-08-26,70,False
2018-09-02,52,False
2018-09-09,68,False
2018-09-16,51,False
2018-09-23,34,False
2018-09-30,34,False
2018-10-07,51,False
2018-10-14,57,False
2018-10-21,69,False
2018-10-28,34,False
2018-11-04,97,False
2018-11-11,65,False
2018-11-18,48,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,33,False
2018-12-16,34,False
2018-12-23,63,False
2018-12-30,36,False
2019-01-06,32,False
2019-01-13,32,False
2019-01-20,31,False
2019-01-27,30,False
2019-02-03,47,False
2019-02-10,34,False
2019-02-17,34,False
2019-02-24,32,False
2019-03-03,31,False
2019-03-10,32,False
2019-03-17,98,False
2019-03-24,0,False
2019-03-31,64,False
2019-04-07,47,False
2019-04-14,0,False
2019-04-21,32,False
2019-04-28,0,False
2019-05-05,28,False
2019-05-12,0,False
2019-05-19,43,False
2019-05-26,28,False
2019-06-02,27,False
2019-06-09,29,False
2019-06-16,31,False
2019-06-23,46,False
2019-06-30,0,False
2019-07-07,31,False
2019-07-14,46,False
2019-07-21,32,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,71,False
2019-08-18,36,False
2019-08-25,0,False
2019-09-01,31,False
2019-09-08,0,False
2019-09-15,97,False
2019-09-22,0,False
2019-09-29,40,False
2019-10-06,40,False
2019-10-13,26,False
2019-10-20,27,False
2019-10-27,27,False
2019-11-03,53,False
2019-11-10,0,False
2019-11-17,26,False
2019-11-24,38,False
2019-12-01,84,False
2019-12-08,85,False
2019-12-15,29,False
2019-12-22,32,False
2019-12-29,60,False
2020-01-05,26,False
2020-01-12,38,False
2020-01-19,51,False
2020-01-26,38,False
2020-02-02,25,False
2020-02-09,25,False
2020-02-16,53,False
2020-02-23,26,False
2020-03-01,78,False
2020-03-08,25,False
2020-03-15,46,False
2020-03-22,68,False
2020-03-29,30,False
2020-04-05,38,False
2020-04-12,58,False
2020-04-19,35,False
2020-04-26,54,False
2020-05-03,36,False
2020-05-10,23,False
2020-05-17,28,True
