Year,ticket_geo_region_name,Prof_type,Distribution
2018,Abruzzo,Certificato conformità impianto elettrico,0.12
2018,Abruzzo,Finestre blindate,0.01
2018,Abruzzo,Impianto di allarme,0.46
2018,Abruzzo,Installazione o sostituzione impianto di videosorveglianza,0.1
2018,Abruzzo,Installazione o sostituzione inferriate,0.0
2018,Abruzzo,Installazione o sostituzione porte blindate,0.3
2018,Abruzzo,Installazione o sostituzione vetro antisfondamento,0.01
2018,Valle d'Aosta,Certificato conformità impianto elettrico,0.1
2018,Valle d'Aosta,Finestre blindate,0.0
2018,Valle d'Aosta,Impianto di allarme,0.5
2018,Valle d'Aosta,Installazione o sostituzione impianto di videosorveglianza,0.1
2018,Valle d'Aosta,Installazione o sostituzione porte blindate,0.3
2018,Valle d'Aosta,Installazione o sostituzione vetro antisfondamento,0.0
2018,Puglia,Certificato conformità impianto elettrico,0.06
2018,Puglia,Finestre blindate,0.02
2018,Puglia,Impianto di allarme,0.46
2018,Puglia,Installazione o sostituzione impianto di videosorveglianza,0.18
2018,Puglia,Installazione o sostituzione inferriate,0.0
2018,Puglia,Installazione o sostituzione porte blindate,0.27
2018,Puglia,Installazione o sostituzione vetro antisfondamento,0.01
2018,Basilicata,Certificato conformità impianto elettrico,0.03
2018,Basilicata,Finestre blindate,0.03
2018,Basilicata,Impianto di allarme,0.59
2018,Basilicata,Installazione o sostituzione impianto di videosorveglianza,0.09
2018,Basilicata,Installazione o sostituzione inferriate,0.0
2018,Basilicata,Installazione o sostituzione porte blindate,0.25
2018,Calabria,Certificato conformità impianto elettrico,0.09
2018,Calabria,Finestre blindate,0.01
2018,Calabria,Impianto di allarme,0.44
2018,Calabria,Installazione o sostituzione impianto di videosorveglianza,0.28
2018,Calabria,Installazione o sostituzione inferriate,0.0
2018,Calabria,Installazione o sostituzione porte blindate,0.18
2018,Calabria,Installazione o sostituzione vetro antisfondamento,0.0
2018,Campania,Certificato conformità impianto elettrico,0.09
2018,Campania,Finestre blindate,0.02
2018,Campania,Impianto di allarme,0.52
2018,Campania,Installazione o sostituzione impianto di videosorveglianza,0.16
2018,Campania,Installazione o sostituzione inferriate,0.0
2018,Campania,Installazione o sostituzione porte blindate,0.2
2018,Campania,Installazione o sostituzione vetro antisfondamento,0.01
2018,Emilia-Romagna,Certificato conformità impianto elettrico,0.19
2018,Emilia-Romagna,Finestre blindate,0.01
2018,Emilia-Romagna,Impianto di allarme,0.4
2018,Emilia-Romagna,Installazione o sostituzione impianto di videosorveglianza,0.07
2018,Emilia-Romagna,Installazione o sostituzione inferriate,0.0
2018,Emilia-Romagna,Installazione o sostituzione porte blindate,0.33
2018,Emilia-Romagna,Installazione o sostituzione vetro antisfondamento,0.01
2018,Friuli Venezia Giulia,Certificato conformità impianto elettrico,0.17
2018,Friuli Venezia Giulia,Finestre blindate,0.01
2018,Friuli Venezia Giulia,Impianto di allarme,0.35
2018,Friuli Venezia Giulia,Installazione o sostituzione impianto di videosorveglianza,0.08
2018,Friuli Venezia Giulia,Installazione o sostituzione inferriate,0.0
2018,Friuli Venezia Giulia,Installazione o sostituzione porte blindate,0.37
2018,Friuli Venezia Giulia,Installazione o sostituzione vetro antisfondamento,0.01
2018,Italia,Certificato conformità impianto elettrico,0.15
2018,Italia,Finestre blindate,0.02
2018,Italia,Impianto di allarme,0.44
2018,Italia,Installazione o sostituzione impianto di videosorveglianza,0.1
2018,Italia,Installazione o sostituzione inferriate,0.0
2018,Italia,Installazione o sostituzione porte blindate,0.29
2018,Italia,Installazione o sostituzione vetro antisfondamento,0.01
2018,Lazio,Certificato conformità impianto elettrico,0.15
2018,Lazio,Finestre blindate,0.03
2018,Lazio,Impianto di allarme,0.47
2018,Lazio,Installazione o sostituzione impianto di videosorveglianza,0.09
2018,Lazio,Installazione o sostituzione inferriate,0.0
2018,Lazio,Installazione o sostituzione porte blindate,0.25
