ticket_geo_region_name,ticket_taxonomy_tag_name,year,Rank,Max,Min,Demand_factor_max_to_min
Italia,Certificazione energetica,2018,1,8,7,1.9
Italia,Installazione o sostituzione finestre,2018,2,8,5,2.4
Italia,Impianto di allarme,2018,3,1,11,2.6
Italia,Certificato conformità impianto elettrico,2018,4,9,7,2.0
Italia,Riparazione o manutenzione tetto,2018,5,9,1,4.5
Italia,Certificazione energetica,2019,1,8,11,2.7
Italia,Installazione o sostituzione finestre,2019,2,0,11,3.0
Italia,Installazione o sostituzione serrature,2019,3,8,1,6.6
Italia,Impianto di allarme,2019,4,0,11,1.5
Italia,Riparazione o manutenzione tetto,2019,5,10,0,5.5
Italia,Installazione o sostituzione pannelli fotovoltaici,2020,1,4,2,18.4
Italia,Installazione o sostituzione finestre,2020,2,4,6,8.4
Italia,Certificazione energetica,2020,3,4,3,4.4
Italia,Impianto di allarme,2020,4,0,6,4.3
Italia,Riparazione o manutenzione tetto,2020,5,4,6,5.1
