date,ristoranti per cerimonie,isPartial
2018-01-07,0,False
2018-01-14,62,False
2018-01-21,51,False
2018-01-28,61,False
2018-02-04,50,False
2018-02-11,41,False
2018-02-18,70,False
2018-02-25,29,False
2018-03-04,59,False
2018-03-11,40,False
2018-03-18,71,False
2018-03-25,21,False
2018-04-01,44,False
2018-04-08,41,False
2018-04-15,21,False
2018-04-22,43,False
2018-04-29,21,False
2018-05-06,61,False
2018-05-13,31,False
2018-05-20,20,False
2018-05-27,62,False
2018-06-03,21,False
2018-06-10,30,False
2018-06-17,31,False
2018-06-24,42,False
2018-07-01,41,False
2018-07-08,41,False
2018-07-15,21,False
2018-07-22,42,False
2018-07-29,21,False
2018-08-05,21,False
2018-08-12,23,False
2018-08-19,45,False
2018-08-26,21,False
2018-09-02,50,False
2018-09-09,40,False
2018-09-16,59,False
2018-09-23,51,False
2018-09-30,40,False
2018-10-07,62,False
2018-10-14,31,False
2018-10-21,51,False
2018-10-28,40,False
2018-11-04,69,False
2018-11-11,51,False
2018-11-18,20,False
2018-11-25,62,False
2018-12-02,52,False
2018-12-09,21,False
2018-12-16,32,False
2018-12-23,0,False
2018-12-30,67,False
2019-01-06,31,False
2019-01-13,40,False
2019-01-20,29,False
2019-01-27,57,False
2019-02-03,48,False
2019-02-10,39,False
2019-02-17,100,False
2019-02-24,49,False
2019-03-03,21,False
2019-03-10,60,False
2019-03-17,42,False
2019-03-24,31,False
2019-03-31,61,False
2019-04-07,50,False
2019-04-14,0,False
2019-04-21,22,False
2019-04-28,41,False
2019-05-05,20,False
2019-05-12,39,False
2019-05-19,19,False
2019-05-26,19,False
2019-06-02,51,False
2019-06-09,20,False
2019-06-16,41,False
2019-06-23,73,False
2019-06-30,21,False
2019-07-07,50,False
2019-07-14,0,False
2019-07-21,21,False
2019-07-28,42,False
2019-08-04,22,False
2019-08-11,23,False
2019-08-18,43,False
2019-08-25,79,False
2019-09-01,37,False
2019-09-08,58,False
2019-09-15,47,False
2019-09-22,66,False
2019-09-29,57,False
2019-10-06,58,False
2019-10-13,57,False
2019-10-20,46,False
2019-10-27,37,False
2019-11-03,45,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,36,False
2019-12-01,0,False
2019-12-08,29,False
2019-12-15,19,False
2019-12-22,33,False
2019-12-29,21,False
2020-01-05,37,False
2020-01-12,35,False
2020-01-19,53,False
2020-01-26,79,False
2020-02-02,35,False
2020-02-09,18,False
2020-02-16,36,False
2020-02-23,42,False
2020-03-01,17,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,15,False
2020-04-05,33,False
2020-04-12,16,False
2020-04-19,15,False
2020-04-26,0,True
