date,bomboniere solidali,isPartial
2018-01-07,31,False
2018-01-14,45,False
2018-01-21,30,False
2018-01-28,74,False
2018-02-04,67,False
2018-02-11,67,False
2018-02-18,29,False
2018-02-25,35,False
2018-03-04,35,False
2018-03-11,78,False
2018-03-18,43,False
2018-03-25,38,False
2018-04-01,55,False
2018-04-08,57,False
2018-04-15,51,False
2018-04-22,46,False
2018-04-29,15,False
2018-05-06,58,False
2018-05-13,28,False
2018-05-20,36,False
2018-05-27,36,False
2018-06-03,29,False
2018-06-10,29,False
2018-06-17,30,False
2018-06-24,30,False
2018-07-01,22,False
2018-07-08,15,False
2018-07-15,23,False
2018-07-22,31,False
2018-07-29,0,False
2018-08-05,53,False
2018-08-12,0,False
2018-08-19,29,False
2018-08-26,16,False
2018-09-02,49,False
2018-09-09,21,False
2018-09-16,14,False
2018-09-23,21,False
2018-09-30,42,False
2018-10-07,28,False
2018-10-14,28,False
2018-10-21,69,False
2018-10-28,14,False
2018-11-04,13,False
2018-11-11,14,False
2018-11-18,0,False
2018-11-25,14,False
2018-12-02,42,False
2018-12-09,27,False
2018-12-16,14,False
2018-12-23,33,False
2018-12-30,0,False
2019-01-06,42,False
2019-01-13,34,False
2019-01-20,40,False
2019-01-27,66,False
2019-02-03,41,False
2019-02-10,81,False
2019-02-17,34,False
2019-02-24,56,False
2019-03-03,63,False
2019-03-10,63,False
2019-03-17,57,False
2019-03-24,58,False
2019-03-31,100,False
2019-04-07,49,False
2019-04-14,15,False
2019-04-21,40,False
2019-04-28,22,False
2019-05-05,35,False
2019-05-12,27,False
2019-05-19,27,False
2019-05-26,20,False
2019-06-02,14,False
2019-06-09,28,False
2019-06-16,57,False
2019-06-23,37,False
2019-06-30,29,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,15,False
2019-07-28,16,False
2019-08-04,26,False
2019-08-11,0,False
2019-08-18,18,False
2019-08-25,31,False
2019-09-01,34,False
2019-09-08,48,False
2019-09-15,26,False
2019-09-22,40,False
2019-09-29,46,False
2019-10-06,34,False
2019-10-13,33,False
2019-10-20,45,False
2019-10-27,13,False
2019-11-03,19,False
2019-11-10,13,False
2019-11-17,19,False
2019-11-24,25,False
2019-12-01,39,False
2019-12-08,0,False
2019-12-15,13,False
2019-12-22,16,False
2019-12-29,38,False
2020-01-05,26,False
2020-01-12,24,False
2020-01-19,50,False
2020-01-26,48,False
2020-02-02,72,False
2020-02-09,43,False
2020-02-16,55,False
2020-02-23,46,False
2020-03-01,35,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,11,False
2020-03-29,11,False
2020-04-05,0,False
2020-04-12,12,False
2020-04-19,0,False
2020-04-26,19,True
