date,bomboniere solidali,isPartial
2018-01-07,25,False
2018-01-14,50,False
2018-01-21,25,False
2018-01-28,49,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,38,False
2018-02-25,50,False
2018-03-04,26,False
2018-03-11,51,False
2018-03-18,26,False
2018-03-25,27,False
2018-04-01,56,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,28,False
2018-04-29,0,False
2018-05-06,26,False
2018-05-13,26,False
2018-05-20,27,False
2018-05-27,53,False
2018-06-03,53,False
2018-06-10,0,False
2018-06-17,26,False
2018-06-24,27,False
2018-07-01,26,False
2018-07-08,26,False
2018-07-15,26,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,25,False
2018-09-09,26,False
2018-09-16,77,False
2018-09-23,53,False
2018-09-30,26,False
2018-10-07,27,False
2018-10-14,0,False
2018-10-21,27,False
2018-10-28,25,False
2018-11-04,26,False
2018-11-11,27,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,38,False
2019-01-20,25,False
2019-01-27,36,False
2019-02-03,24,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,50,False
2019-03-03,25,False
2019-03-10,51,False
2019-03-17,39,False
2019-03-24,0,False
2019-03-31,25,False
2019-04-07,75,False
2019-04-14,26,False
2019-04-21,53,False
2019-04-28,49,False
2019-05-05,24,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,23,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,26,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,27,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,30,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,100,False
2019-09-29,24,False
2019-10-06,48,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,24,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,26,False
2020-01-05,0,False
2020-01-12,22,False
2020-01-19,34,False
2020-01-26,45,False
2020-02-02,0,False
2020-02-09,90,False
2020-02-16,33,False
2020-02-23,21,False
2020-03-01,41,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,20,False
2020-04-26,0,True
