date,bodas originales,isPartial
2018-01-07,35,False
2018-01-14,14,False
2018-01-21,44,False
2018-01-28,21,False
2018-02-04,14,False
2018-02-11,14,False
2018-02-18,43,False
2018-02-25,20,False
2018-03-04,13,False
2018-03-11,20,False
2018-03-18,29,False
2018-03-25,0,False
2018-04-01,28,False
2018-04-08,14,False
2018-04-15,29,False
2018-04-22,69,False
2018-04-29,36,False
2018-05-06,14,False
2018-05-13,15,False
2018-05-20,0,False
2018-05-27,44,False
2018-06-03,14,False
2018-06-10,27,False
2018-06-17,15,False
2018-06-24,22,False
2018-07-01,22,False
2018-07-08,21,False
2018-07-15,29,False
2018-07-22,36,False
2018-07-29,28,False
2018-08-05,35,False
2018-08-12,56,False
2018-08-19,100,False
2018-08-26,43,False
2018-09-02,42,False
2018-09-09,55,False
2018-09-16,21,False
2018-09-23,35,False
2018-09-30,28,False
2018-10-07,28,False
2018-10-14,60,False
2018-10-21,14,False
2018-10-28,14,False
2018-11-04,20,False
2018-11-11,28,False
2018-11-18,13,False
2018-11-25,14,False
2018-12-02,23,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,16,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,39,False
2019-01-27,20,False
2019-02-03,28,False
2019-02-10,21,False
2019-02-17,14,False
2019-02-24,15,False
2019-03-03,28,False
2019-03-10,15,False
2019-03-17,29,False
2019-03-24,21,False
2019-03-31,27,False
2019-04-07,14,False
2019-04-14,0,False
2019-04-21,13,False
2019-04-28,28,False
2019-05-05,28,False
2019-05-12,22,False
2019-05-19,14,False
2019-05-26,0,False
2019-06-02,14,False
2019-06-09,34,False
2019-06-16,21,False
2019-06-23,14,False
2019-06-30,28,False
2019-07-07,35,False
2019-07-14,28,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,42,False
2019-08-11,21,False
2019-08-18,14,False
2019-08-25,13,False
2019-09-01,20,False
2019-09-08,26,False
2019-09-15,26,False
2019-09-22,13,False
2019-09-29,20,False
2019-10-06,39,False
2019-10-13,52,False
2019-10-20,13,False
2019-10-27,13,False
2019-11-03,13,False
2019-11-10,38,False
2019-11-17,12,False
2019-11-24,12,False
2019-12-01,13,False
2019-12-08,40,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,13,False
2020-01-12,23,False
2020-01-19,11,False
2020-01-26,31,False
2020-02-02,12,False
2020-02-09,25,False
2020-02-16,12,False
2020-02-23,0,False
2020-03-01,18,False
2020-03-08,11,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,10,False
2020-04-05,11,False
2020-04-12,17,True
