date,Blumenkranz Hochzeit,isPartial
2018-01-07,37,False
2018-01-14,44,False
2018-01-21,22,False
2018-01-28,29,False
2018-02-04,15,False
2018-02-11,45,False
2018-02-18,45,False
2018-02-25,23,False
2018-03-04,30,False
2018-03-11,22,False
2018-03-18,30,False
2018-03-25,16,False
2018-04-01,0,False
2018-04-08,31,False
2018-04-15,48,False
2018-04-22,38,False
2018-04-29,24,False
2018-05-06,40,False
2018-05-13,15,False
2018-05-20,24,False
2018-05-27,70,False
2018-06-03,46,False
2018-06-10,44,False
2018-06-17,30,False
2018-06-24,31,False
2018-07-01,38,False
2018-07-08,15,False
2018-07-15,0,False
2018-07-22,39,False
2018-07-29,31,False
2018-08-05,31,False
2018-08-12,16,False
2018-08-19,31,False
2018-08-26,16,False
2018-09-02,38,False
2018-09-09,15,False
2018-09-16,77,False
2018-09-23,0,False
2018-09-30,38,False
2018-10-07,15,False
2018-10-14,31,False
2018-10-21,15,False
2018-10-28,15,False
2018-11-04,21,False
2018-11-11,0,False
2018-11-18,14,False
2018-11-25,15,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,15,False
2018-12-23,0,False
2018-12-30,16,False
2019-01-06,56,False
2019-01-13,14,False
2019-01-20,14,False
2019-01-27,27,False
2019-02-03,14,False
2019-02-10,14,False
2019-02-17,22,False
2019-02-24,44,False
2019-03-03,21,False
2019-03-10,21,False
2019-03-17,29,False
2019-03-24,51,False
2019-03-31,36,False
2019-04-07,50,False
2019-04-14,16,False
2019-04-21,31,False
2019-04-28,21,False
2019-05-05,42,False
2019-05-12,14,False
2019-05-19,43,False
2019-05-26,22,False
2019-06-02,21,False
2019-06-09,29,False
2019-06-16,15,False
2019-06-23,37,False
2019-06-30,29,False
2019-07-07,28,False
2019-07-14,30,False
2019-07-21,31,False
2019-07-28,53,False
2019-08-04,15,False
2019-08-11,22,False
2019-08-18,15,False
2019-08-25,22,False
2019-09-01,36,False
2019-09-08,14,False
2019-09-15,14,False
2019-09-22,21,False
2019-09-29,28,False
2019-10-06,42,False
2019-10-13,28,False
2019-10-20,14,False
2019-10-27,14,False
2019-11-03,13,False
2019-11-10,26,False
2019-11-17,13,False
2019-11-24,26,False
2019-12-01,0,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,15,False
2019-12-29,100,False
2020-01-05,19,False
2020-01-12,19,False
2020-01-19,26,False
2020-01-26,38,False
2020-02-02,19,False
2020-02-09,19,False
2020-02-16,45,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,12,False
2020-03-15,23,False
2020-03-22,11,False
2020-03-29,11,False
2020-04-05,19,False
2020-04-12,46,True
