date,Flachdachsanierung,isPartial
2018-01-07,0,False
2018-01-14,61,False
2018-01-21,61,False
2018-01-28,77,False
2018-02-04,53,False
2018-02-11,47,False
2018-02-18,52,False
2018-02-25,31,False
2018-03-04,31,False
2018-03-11,31,False
2018-03-18,47,False
2018-03-25,100,False
2018-04-01,50,False
2018-04-08,43,False
2018-04-15,66,False
2018-04-22,63,False
2018-04-29,32,False
2018-05-06,50,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,32,False
2018-06-03,32,False
2018-06-10,41,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,47,False
2018-07-08,47,False
2018-07-15,32,False
2018-07-22,98,False
2018-07-29,65,False
2018-08-05,48,False
2018-08-12,33,False
2018-08-19,65,False
2018-08-26,32,False
2018-09-02,32,False
2018-09-09,0,False
2018-09-16,32,False
2018-09-23,65,False
2018-09-30,48,False
2018-10-07,32,False
2018-10-14,0,False
2018-10-21,52,False
2018-10-28,46,False
2018-11-04,60,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,61,False
2018-12-09,30,False
2018-12-16,32,False
2018-12-23,71,False
2018-12-30,33,False
2019-01-06,0,False
2019-01-13,57,False
2019-01-20,48,False
2019-01-27,57,False
2019-02-03,49,False
2019-02-10,59,False
2019-02-17,45,False
2019-02-24,46,False
2019-03-03,59,False
2019-03-10,43,False
2019-03-17,30,False
2019-03-24,61,False
2019-03-31,30,False
2019-04-07,30,False
2019-04-14,33,False
2019-04-21,31,False
2019-04-28,59,False
2019-05-05,29,False
2019-05-12,60,False
2019-05-19,30,False
2019-05-26,46,False
2019-06-02,30,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,30,False
2019-06-30,30,False
2019-07-07,30,False
2019-07-14,77,False
2019-07-21,65,False
2019-07-28,32,False
2019-08-04,32,False
2019-08-11,0,False
2019-08-18,31,False
2019-08-25,60,False
2019-09-01,44,False
2019-09-08,40,False
2019-09-15,60,False
2019-09-22,43,False
2019-09-29,29,False
2019-10-06,58,False
2019-10-13,67,False
2019-10-20,43,False
2019-10-27,56,False
2019-11-03,27,False
2019-11-10,42,False
2019-11-17,55,False
2019-11-24,27,False
2019-12-01,42,False
2019-12-08,0,False
2019-12-15,43,False
2019-12-22,32,False
2019-12-29,50,False
2020-01-05,53,False
2020-01-12,26,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,54,False
2020-02-23,43,False
2020-03-01,26,False
2020-03-08,24,False
2020-03-15,56,False
2020-03-22,35,False
2020-03-29,24,False
2020-04-05,26,False
2020-04-12,25,False
2020-04-19,32,False
2020-04-26,55,False
2020-05-03,56,False
2020-05-10,71,False
