date,modista en,isPartial
2018-01-07,66,False
2018-01-14,69,False
2018-01-21,34,False
2018-01-28,0,False
2018-02-04,34,False
2018-02-11,35,False
2018-02-18,35,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,34,False
2018-03-25,37,False
2018-04-01,49,False
2018-04-08,64,False
2018-04-15,52,False
2018-04-22,0,False
2018-04-29,86,False
2018-05-06,83,False
2018-05-13,69,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,67,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,35,False
2018-07-08,34,False
2018-07-15,88,False
2018-07-22,70,False
2018-07-29,34,False
2018-08-05,33,False
2018-08-12,100,False
2018-08-19,34,False
2018-08-26,33,False
2018-09-02,66,False
2018-09-09,33,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,34,False
2018-10-14,0,False
2018-10-21,66,False
2018-10-28,50,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,67,False
2018-12-02,0,False
2018-12-09,35,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,65,False
2019-01-20,0,False
2019-01-27,31,False
2019-02-03,34,False
2019-02-10,66,False
2019-02-17,33,False
2019-02-24,35,False
2019-03-03,68,False
2019-03-10,70,False
2019-03-17,68,False
2019-03-24,50,False
2019-03-31,63,False
2019-04-07,33,False
2019-04-14,48,False
2019-04-21,0,False
2019-04-28,66,False
2019-05-05,34,False
2019-05-12,0,False
2019-05-19,100,False
2019-05-26,0,False
2019-06-02,65,False
2019-06-09,49,False
2019-06-16,0,False
2019-06-23,33,False
2019-06-30,0,False
2019-07-07,33,False
2019-07-14,34,False
2019-07-21,67,False
2019-07-28,68,False
2019-08-04,66,False
2019-08-11,33,False
2019-08-18,0,False
2019-08-25,31,False
2019-09-01,0,False
2019-09-08,62,False
2019-09-15,62,False
2019-09-22,31,False
2019-09-29,32,False
2019-10-06,0,False
2019-10-13,92,False
2019-10-20,31,False
2019-10-27,30,False
2019-11-03,30,False
2019-11-10,30,False
2019-11-17,0,False
2019-11-24,29,False
2019-12-01,31,False
2019-12-08,0,False
2019-12-15,29,False
2019-12-22,32,False
2019-12-29,32,False
2020-01-05,31,False
2020-01-12,0,False
2020-01-19,27,False
2020-01-26,29,False
2020-02-02,29,False
2020-02-09,87,False
2020-02-16,28,False
2020-02-23,0,False
2020-03-01,28,False
2020-03-08,54,False
2020-03-15,0,False
2020-03-22,24,False
2020-03-29,0,False
2020-04-05,26,False
2020-04-12,0,True
