date,modista en,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,34,False
2018-02-04,33,False
2018-02-11,34,False
2018-02-18,35,False
2018-02-25,33,False
2018-03-04,66,False
2018-03-11,33,False
2018-03-18,35,False
2018-03-25,45,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,66,False
2018-04-29,57,False
2018-05-06,100,False
2018-05-13,35,False
2018-05-20,33,False
2018-05-27,0,False
2018-06-03,66,False
2018-06-10,33,False
2018-06-17,0,False
2018-06-24,36,False
2018-07-01,0,False
2018-07-08,57,False
2018-07-15,0,False
2018-07-22,41,False
2018-07-29,86,False
2018-08-05,46,False
2018-08-12,0,False
2018-08-19,46,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,86,False
2018-09-16,33,False
2018-09-23,33,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,33,False
2018-10-21,65,False
2018-10-28,34,False
2018-11-04,29,False
2018-11-11,62,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,65,False
2018-12-09,33,False
2018-12-16,33,False
2018-12-23,41,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,48,False
2019-01-20,0,False
2019-01-27,28,False
2019-02-03,64,False
2019-02-10,63,False
2019-02-17,32,False
2019-02-24,29,False
2019-03-03,49,False
2019-03-10,49,False
2019-03-17,49,False
2019-03-24,67,False
2019-03-31,79,False
2019-04-07,28,False
2019-04-14,41,False
2019-04-21,32,False
2019-04-28,51,False
2019-05-05,58,False
2019-05-12,32,False
2019-05-19,0,False
2019-05-26,30,False
2019-06-02,30,False
2019-06-09,60,False
2019-06-16,65,False
2019-06-23,0,False
2019-06-30,34,False
2019-07-07,33,False
2019-07-14,0,False
2019-07-21,36,False
2019-07-28,41,False
2019-08-04,45,False
2019-08-11,48,False
2019-08-18,44,False
2019-08-25,39,False
2019-09-01,31,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,60,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,61,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,29,False
2019-11-24,0,False
2019-12-01,61,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,35,False
2019-12-29,0,False
2020-01-05,30,False
2020-01-12,68,False
2020-01-19,55,False
2020-01-26,28,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,56,False
2020-02-23,55,False
2020-03-01,27,False
2020-03-08,53,False
2020-03-15,27,False
2020-03-22,80,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,46,True
