date,Schlüssel nachmachen lassen,isPartial
2018-01-07,72,False
2018-01-14,71,False
2018-01-21,0,False
2018-01-28,72,False
2018-02-04,56,False
2018-02-11,55,False
2018-02-18,36,False
2018-02-25,36,False
2018-03-04,55,False
2018-03-11,37,False
2018-03-18,36,False
2018-03-25,39,False
2018-04-01,0,False
2018-04-08,73,False
2018-04-15,38,False
2018-04-22,89,False
2018-04-29,75,False
2018-05-06,76,False
2018-05-13,36,False
2018-05-20,77,False
2018-05-27,36,False
2018-06-03,72,False
2018-06-10,35,False
2018-06-17,35,False
2018-06-24,55,False
2018-07-01,72,False
2018-07-08,52,False
2018-07-15,50,False
2018-07-22,38,False
2018-07-29,97,False
2018-08-05,38,False
2018-08-12,77,False
2018-08-19,56,False
2018-08-26,37,False
2018-09-02,49,False
2018-09-09,55,False
2018-09-16,37,False
2018-09-23,74,False
2018-09-30,37,False
2018-10-07,37,False
2018-10-14,56,False
2018-10-21,75,False
2018-10-28,36,False
2018-11-04,35,False
2018-11-11,36,False
2018-11-18,69,False
2018-11-25,53,False
2018-12-02,35,False
2018-12-09,0,False
2018-12-16,36,False
2018-12-23,68,False
2018-12-30,38,False
2019-01-06,34,False
2019-01-13,56,False
2019-01-20,78,False
2019-01-27,33,False
2019-02-03,0,False
2019-02-10,52,False
2019-02-17,34,False
2019-02-24,35,False
2019-03-03,34,False
2019-03-10,100,False
2019-03-17,70,False
2019-03-24,53,False
2019-03-31,51,False
2019-04-07,35,False
2019-04-14,57,False
2019-04-21,74,False
2019-04-28,71,False
2019-05-05,34,False
2019-05-12,35,False
2019-05-19,52,False
2019-05-26,0,False
2019-06-02,34,False
2019-06-09,35,False
2019-06-16,35,False
2019-06-23,35,False
2019-06-30,52,False
2019-07-07,34,False
2019-07-14,54,False
2019-07-21,39,False
2019-07-28,38,False
2019-08-04,38,False
2019-08-11,73,False
2019-08-18,36,False
2019-08-25,70,False
2019-09-01,57,False
2019-09-08,35,False
2019-09-15,35,False
2019-09-22,34,False
2019-09-29,0,False
2019-10-06,50,False
2019-10-13,34,False
2019-10-20,34,False
2019-10-27,33,False
2019-11-03,96,False
2019-11-10,65,False
2019-11-17,48,False
2019-11-24,31,False
2019-12-01,32,False
2019-12-08,32,False
2019-12-15,65,False
2019-12-22,37,False
2019-12-29,35,False
2020-01-05,31,False
2020-01-12,0,False
2020-01-19,52,False
2020-01-26,30,False
2020-02-02,60,False
2020-02-09,29,False
2020-02-16,31,False
2020-02-23,29,False
2020-03-01,29,False
2020-03-08,28,False
2020-03-15,28,False
2020-03-22,28,False
2020-03-29,27,False
2020-04-05,0,False
2020-04-12,29,False
2020-04-19,42,False
2020-04-26,55,False
2020-05-03,56,False
2020-05-10,28,False
