date,electronica,isPartial
2018-01-07,0,False
2018-01-14,40,False
2018-01-21,38,False
2018-01-28,38,False
2018-02-04,38,False
2018-02-11,37,False
2018-02-18,69,False
2018-02-25,0,False
2018-03-04,70,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,38,False
2018-04-01,39,False
2018-04-08,35,False
2018-04-15,72,False
2018-04-22,38,False
2018-04-29,36,False
2018-05-06,52,False
2018-05-13,52,False
2018-05-20,0,False
2018-05-27,36,False
2018-06-03,37,False
2018-06-10,0,False
2018-06-17,35,False
2018-06-24,37,False
2018-07-01,54,False
2018-07-08,73,False
2018-07-15,37,False
2018-07-22,37,False
2018-07-29,39,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,100,False
2018-08-26,84,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,69,False
2018-09-30,69,False
2018-10-07,0,False
2018-10-14,35,False
2018-10-21,87,False
2018-10-28,35,False
2018-11-04,33,False
2018-11-11,35,False
2018-11-18,52,False
2018-11-25,52,False
2018-12-02,0,False
2018-12-09,36,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,41,False
2019-01-06,39,False
2019-01-13,38,False
2019-01-20,36,False
2019-01-27,33,False
2019-02-03,38,False
2019-02-10,0,False
2019-02-17,38,False
2019-02-24,34,False
2019-03-03,40,False
2019-03-10,40,False
2019-03-17,40,False
2019-03-24,79,False
2019-03-31,0,False
2019-04-07,36,False
2019-04-14,38,False
2019-04-21,0,False
2019-04-28,38,False
2019-05-05,0,False
2019-05-12,37,False
2019-05-19,0,False
2019-05-26,36,False
2019-06-02,38,False
2019-06-09,57,False
2019-06-16,40,False
2019-06-23,40,False
2019-06-30,41,False
2019-07-07,75,False
2019-07-14,0,False
2019-07-21,81,False
2019-07-28,44,False
2019-08-04,47,False
2019-08-11,51,False
2019-08-18,48,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,57,False
2019-09-15,37,False
2019-09-22,37,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,38,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,71,False
2019-11-10,73,False
2019-11-17,0,False
2019-11-24,36,False
2019-12-01,0,False
2019-12-08,38,False
2019-12-15,0,False
2019-12-22,46,False
2019-12-29,44,False
2020-01-05,38,False
2020-01-12,35,False
2020-01-19,53,False
2020-01-26,34,False
2020-02-02,52,False
2020-02-09,36,False
2020-02-16,35,False
2020-02-23,0,False
2020-03-01,34,False
2020-03-08,99,False
2020-03-15,0,False
2020-03-22,47,False
2020-03-29,64,False
2020-04-05,34,False
2020-04-12,51,False
2020-04-19,0,False
2020-04-26,84,True
