date,foyer ferme,isPartial
2018-01-07,34,False
2018-01-14,30,False
2018-01-21,20,False
2018-01-28,34,False
2018-02-04,33,False
2018-02-11,34,False
2018-02-18,35,False
2018-02-25,50,False
2018-03-04,30,False
2018-03-11,41,False
2018-03-18,41,False
2018-03-25,52,False
2018-04-01,63,False
2018-04-08,34,False
2018-04-15,37,False
2018-04-22,32,False
2018-04-29,31,False
2018-05-06,22,False
2018-05-13,0,False
2018-05-20,21,False
2018-05-27,40,False
2018-06-03,20,False
2018-06-10,20,False
2018-06-17,21,False
2018-06-24,20,False
2018-07-01,40,False
2018-07-08,21,False
2018-07-15,44,False
2018-07-22,22,False
2018-07-29,34,False
2018-08-05,22,False
2018-08-12,23,False
2018-08-19,30,False
2018-08-26,43,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,55,False
2018-10-21,42,False
2018-10-28,35,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,100,False
2018-11-25,34,False
2018-12-02,20,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,71,False
2018-12-30,30,False
2019-01-06,34,False
2019-01-13,68,False
2019-01-20,33,False
2019-01-27,39,False
2019-02-03,40,False
2019-02-10,62,False
2019-02-17,35,False
2019-02-24,62,False
2019-03-03,40,False
2019-03-10,40,False
2019-03-17,42,False
2019-03-24,21,False
2019-03-31,81,False
2019-04-07,21,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,31,False
2019-05-05,47,False
2019-05-12,27,False
2019-05-19,40,False
2019-05-26,21,False
2019-06-02,28,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,40,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,0,False
2019-07-28,43,False
2019-08-04,22,False
2019-08-11,22,False
2019-08-18,21,False
2019-08-25,20,False
2019-09-01,19,False
2019-09-08,32,False
2019-09-15,58,False
2019-09-22,25,False
2019-09-29,47,False
2019-10-06,28,False
2019-10-13,19,False
2019-10-20,29,False
2019-10-27,44,False
2019-11-03,43,False
2019-11-10,55,False
2019-11-17,25,False
2019-11-24,48,False
2019-12-01,27,False
2019-12-08,30,False
2019-12-15,27,False
2019-12-22,51,False
2019-12-29,26,False
2020-01-05,65,False
2020-01-12,41,False
2020-01-19,71,False
2020-01-26,29,False
2020-02-02,27,False
2020-02-09,18,False
2020-02-16,30,False
2020-02-23,17,False
2020-03-01,40,False
2020-03-08,22,False
2020-03-15,40,False
2020-03-22,32,False
2020-03-29,0,False
2020-04-05,16,False
2020-04-12,0,False
2020-04-19,24,False
2020-04-26,30,False
2020-05-03,15,False
2020-05-10,16,False
2020-05-17,20,True
