date,Bauschuttcontainer,isPartial
2018-01-07,44,False
2018-01-14,22,False
2018-01-21,0,False
2018-01-28,22,False
2018-02-04,15,False
2018-02-11,45,False
2018-02-18,0,False
2018-02-25,29,False
2018-03-04,44,False
2018-03-11,29,False
2018-03-18,15,False
2018-03-25,39,False
2018-04-01,63,False
2018-04-08,30,False
2018-04-15,39,False
2018-04-22,37,False
2018-04-29,23,False
2018-05-06,31,False
2018-05-13,30,False
2018-05-20,32,False
2018-05-27,38,False
2018-06-03,22,False
2018-06-10,14,False
2018-06-17,44,False
2018-06-24,45,False
2018-07-01,52,False
2018-07-08,52,False
2018-07-15,23,False
2018-07-22,31,False
2018-07-29,31,False
2018-08-05,53,False
2018-08-12,31,False
2018-08-19,46,False
2018-08-26,15,False
2018-09-02,45,False
2018-09-09,22,False
2018-09-16,30,False
2018-09-23,22,False
2018-09-30,45,False
2018-10-07,44,False
2018-10-14,30,False
2018-10-21,51,False
2018-10-28,22,False
2018-11-04,14,False
2018-11-11,22,False
2018-11-18,42,False
2018-11-25,14,False
2018-12-02,14,False
2018-12-09,22,False
2018-12-16,44,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,14,False
2019-01-13,14,False
2019-01-20,20,False
2019-01-27,47,False
2019-02-03,28,False
2019-02-10,35,False
2019-02-17,28,False
2019-02-24,36,False
2019-03-03,28,False
2019-03-10,55,False
2019-03-17,43,False
2019-03-24,56,False
2019-03-31,43,False
2019-04-07,28,False
2019-04-14,38,False
2019-04-21,15,False
2019-04-28,21,False
2019-05-05,34,False
2019-05-12,35,False
2019-05-19,28,False
2019-05-26,36,False
2019-06-02,35,False
2019-06-09,14,False
2019-06-16,29,False
2019-06-23,21,False
2019-06-30,50,False
2019-07-07,35,False
2019-07-14,22,False
2019-07-21,38,False
2019-07-28,15,False
2019-08-04,30,False
2019-08-11,100,False
2019-08-18,44,False
2019-08-25,50,False
2019-09-01,35,False
2019-09-08,42,False
2019-09-15,35,False
2019-09-22,21,False
2019-09-29,55,False
2019-10-06,41,False
2019-10-13,27,False
2019-10-20,27,False
2019-10-27,0,False
2019-11-03,58,False
2019-11-10,39,False
2019-11-17,26,False
2019-11-24,19,False
2019-12-01,26,False
2019-12-08,39,False
2019-12-15,20,False
2019-12-22,46,False
2019-12-29,14,False
2020-01-05,38,False
2020-01-12,18,False
2020-01-19,31,False
2020-01-26,37,False
2020-02-02,12,False
2020-02-09,18,False
2020-02-16,19,False
2020-02-23,43,False
2020-03-01,30,False
2020-03-08,17,False
2020-03-15,17,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,61,False
2020-04-12,47,False
2020-04-19,63,False
2020-04-26,67,False
2020-05-03,34,False
2020-05-10,40,False
