date,Cours de jardinage,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,27,False
2018-01-28,0,False
2018-02-04,26,False
2018-02-11,27,False
2018-02-18,27,False
2018-02-25,0,False
2018-03-04,27,False
2018-03-11,41,False
2018-03-18,27,False
2018-03-25,54,False
2018-04-01,41,False
2018-04-08,27,False
2018-04-15,29,False
2018-04-22,42,False
2018-04-29,28,False
2018-05-06,43,False
2018-05-13,27,False
2018-05-20,82,False
2018-05-27,53,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,0,False
2018-06-24,55,False
2018-07-01,53,False
2018-07-08,28,False
2018-07-15,29,False
2018-07-22,29,False
2018-07-29,29,False
2018-08-05,30,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,37,False
2018-09-02,28,False
2018-09-09,27,False
2018-09-16,55,False
2018-09-23,41,False
2018-09-30,0,False
2018-10-07,28,False
2018-10-14,41,False
2018-10-21,28,False
2018-10-28,28,False
2018-11-04,27,False
2018-11-11,0,False
2018-11-18,26,False
2018-11-25,0,False
2018-12-02,40,False
2018-12-09,0,False
2018-12-16,28,False
2018-12-23,31,False
2018-12-30,30,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,26,False
2019-01-27,39,False
2019-02-03,52,False
2019-02-10,0,False
2019-02-17,28,False
2019-02-24,27,False
2019-03-03,26,False
2019-03-10,53,False
2019-03-17,28,False
2019-03-24,28,False
2019-03-31,40,False
2019-04-07,0,False
2019-04-14,28,False
2019-04-21,28,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,0,False
2019-05-19,26,False
2019-05-26,36,False
2019-06-02,25,False
2019-06-09,26,False
2019-06-16,27,False
2019-06-23,27,False
2019-06-30,40,False
2019-07-07,26,False
2019-07-14,55,False
2019-07-21,28,False
2019-07-28,28,False
2019-08-04,29,False
2019-08-11,0,False
2019-08-18,85,False
2019-08-25,0,False
2019-09-01,38,False
2019-09-08,26,False
2019-09-15,26,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,0,False
2019-10-13,100,False
2019-10-20,25,False
2019-10-27,25,False
2019-11-03,24,False
2019-11-10,24,False
2019-11-17,24,False
2019-11-24,0,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,48,False
2019-12-22,0,False
2019-12-29,26,False
2020-01-05,23,False
2020-01-12,23,False
2020-01-19,47,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,23,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,30,False
2020-03-08,22,False
2020-03-15,63,False
2020-03-22,31,False
2020-03-29,21,False
2020-04-05,21,False
2020-04-12,43,False
2020-04-19,21,False
2020-04-26,20,False
2020-05-03,26,False
2020-05-10,21,False
2020-05-17,45,False
2020-05-24,22,False
2020-05-31,41,False
2020-06-07,21,False
2020-06-14,33,False
2020-06-21,0,True
