date,Küche streichen,isPartial
2018-01-07,32,False
2018-01-14,42,False
2018-01-21,22,False
2018-01-28,21,False
2018-02-04,0,False
2018-02-11,30,False
2018-02-18,44,False
2018-02-25,33,False
2018-03-04,0,False
2018-03-11,22,False
2018-03-18,22,False
2018-03-25,24,False
2018-04-01,24,False
2018-04-08,0,False
2018-04-15,23,False
2018-04-22,45,False
2018-04-29,23,False
2018-05-06,0,False
2018-05-13,22,False
2018-05-20,24,False
2018-05-27,24,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,42,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,22,False
2018-07-29,22,False
2018-08-05,23,False
2018-08-12,24,False
2018-08-19,24,False
2018-08-26,0,False
2018-09-02,23,False
2018-09-09,22,False
2018-09-16,45,False
2018-09-23,37,False
2018-09-30,22,False
2018-10-07,22,False
2018-10-14,0,False
2018-10-21,22,False
2018-10-28,29,False
2018-11-04,43,False
2018-11-11,22,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,44,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,41,False
2019-01-13,60,False
2019-01-20,40,False
2019-01-27,20,False
2019-02-03,100,False
2019-02-10,34,False
2019-02-17,31,False
2019-02-24,0,False
2019-03-03,21,False
2019-03-10,20,False
2019-03-17,22,False
2019-03-24,22,False
2019-03-31,22,False
2019-04-07,21,False
2019-04-14,23,False
2019-04-21,45,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,31,False
2019-05-19,20,False
2019-05-26,21,False
2019-06-02,21,False
2019-06-09,45,False
2019-06-16,22,False
2019-06-23,22,False
2019-06-30,21,False
2019-07-07,33,False
2019-07-14,21,False
2019-07-21,43,False
2019-07-28,21,False
2019-08-04,30,False
2019-08-11,0,False
2019-08-18,23,False
2019-08-25,0,False
2019-09-01,32,False
2019-09-08,21,False
2019-09-15,21,False
2019-09-22,30,False
2019-09-29,20,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,33,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,19,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,40,False
2019-12-08,0,False
2019-12-15,20,False
2019-12-22,23,False
2019-12-29,42,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,19,False
2020-01-26,38,False
2020-02-02,56,False
2020-02-09,18,False
2020-02-16,38,False
2020-02-23,37,False
2020-03-01,18,False
2020-03-08,17,False
2020-03-15,17,False
2020-03-22,17,False
2020-03-29,0,False
2020-04-05,46,False
2020-04-12,18,False
2020-04-19,35,False
2020-04-26,51,False
2020-05-03,17,False
2020-05-10,17,False
2020-05-17,0,True
