date,Küche streichen,isPartial
2018-01-07,81,False
2018-01-14,47,False
2018-01-21,32,False
2018-01-28,53,False
2018-02-04,33,False
2018-02-11,48,False
2018-02-18,65,False
2018-02-25,96,False
2018-03-04,87,False
2018-03-11,32,False
2018-03-18,49,False
2018-03-25,46,False
2018-04-01,69,False
2018-04-08,33,False
2018-04-15,33,False
2018-04-22,42,False
2018-04-29,44,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,57,False
2018-05-27,65,False
2018-06-03,32,False
2018-06-10,78,False
2018-06-17,63,False
2018-06-24,54,False
2018-07-01,32,False
2018-07-08,0,False
2018-07-15,33,False
2018-07-22,67,False
2018-07-29,35,False
2018-08-05,34,False
2018-08-12,46,False
2018-08-19,44,False
2018-08-26,66,False
2018-09-02,65,False
2018-09-09,65,False
2018-09-16,65,False
2018-09-23,0,False
2018-09-30,33,False
2018-10-07,49,False
2018-10-14,100,False
2018-10-21,66,False
2018-10-28,65,False
2018-11-04,62,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,47,False
2018-12-02,47,False
2018-12-09,80,False
2018-12-16,32,False
2018-12-23,91,False
2018-12-30,34,False
2019-01-06,50,False
2019-01-13,50,False
2019-01-20,59,False
2019-01-27,30,False
2019-02-03,30,False
2019-02-10,31,False
2019-02-17,77,False
2019-02-24,62,False
2019-03-03,30,False
2019-03-10,59,False
2019-03-17,47,False
2019-03-24,31,False
2019-03-31,61,False
2019-04-07,93,False
2019-04-14,34,False
2019-04-21,50,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,62,False
2019-05-19,30,False
2019-05-26,63,False
2019-06-02,41,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,61,False
2019-07-14,32,False
2019-07-21,35,False
2019-07-28,68,False
2019-08-04,34,False
2019-08-11,98,False
2019-08-18,43,False
2019-08-25,41,False
2019-09-01,76,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,31,False
2019-09-29,41,False
2019-10-06,30,False
2019-10-13,81,False
2019-10-20,31,False
2019-10-27,59,False
2019-11-03,47,False
2019-11-10,29,False
2019-11-17,47,False
2019-11-24,83,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,29,False
2019-12-22,33,False
2019-12-29,42,False
2020-01-05,74,False
2020-01-12,66,False
2020-01-19,82,False
2020-01-26,45,False
2020-02-02,36,False
2020-02-09,44,False
2020-02-16,0,False
2020-02-23,52,False
2020-03-01,35,False
2020-03-08,33,False
2020-03-15,87,False
2020-03-22,33,False
2020-03-29,73,False
2020-04-05,63,False
2020-04-12,60,False
2020-04-19,33,False
2020-04-26,40,False
2020-05-03,75,False
2020-05-10,50,False
2020-05-17,59,True
