date,Küche streichen,isPartial
2018-01-07,48,False
2018-01-14,36,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,36,False
2018-02-11,24,False
2018-02-18,48,False
2018-02-25,0,False
2018-03-04,48,False
2018-03-11,24,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,25,False
2018-04-08,41,False
2018-04-15,25,False
2018-04-22,47,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,0,False
2018-05-27,23,False
2018-06-03,48,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,24,False
2018-07-01,0,False
2018-07-08,100,False
2018-07-15,54,False
2018-07-22,25,False
2018-07-29,36,False
2018-08-05,22,False
2018-08-12,0,False
2018-08-19,23,False
2018-08-26,23,False
2018-09-02,0,False
2018-09-09,23,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,38,False
2018-10-07,0,False
2018-10-14,24,False
2018-10-21,23,False
2018-10-28,23,False
2018-11-04,0,False
2018-11-11,47,False
2018-11-18,23,False
2018-11-25,47,False
2018-12-02,0,False
2018-12-09,24,False
2018-12-16,24,False
2018-12-23,27,False
2018-12-30,48,False
2019-01-06,33,False
2019-01-13,22,False
2019-01-20,29,False
2019-01-27,22,False
2019-02-03,22,False
2019-02-10,23,False
2019-02-17,0,False
2019-02-24,23,False
2019-03-03,22,False
2019-03-10,22,False
2019-03-17,46,False
2019-03-24,0,False
2019-03-31,23,False
2019-04-07,48,False
2019-04-14,26,False
2019-04-21,24,False
2019-04-28,23,False
2019-05-05,22,False
2019-05-12,23,False
2019-05-19,45,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,22,False
2019-06-16,22,False
2019-06-23,23,False
2019-06-30,23,False
2019-07-07,0,False
2019-07-14,32,False
2019-07-21,0,False
2019-07-28,47,False
2019-08-04,0,False
2019-08-11,32,False
2019-08-18,0,False
2019-08-25,22,False
2019-09-01,64,False
2019-09-08,22,False
2019-09-15,0,False
2019-09-22,43,False
2019-09-29,0,False
2019-10-06,44,False
2019-10-13,32,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,41,False
2019-11-10,21,False
2019-11-17,42,False
2019-11-24,30,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,23,False
2019-12-29,21,False
2020-01-05,0,False
2020-01-12,32,False
2020-01-19,20,False
2020-01-26,59,False
2020-02-02,0,False
2020-02-09,19,False
2020-02-16,0,False
2020-02-23,40,False
2020-03-01,49,False
2020-03-08,18,False
2020-03-15,27,False
2020-03-22,36,False
2020-03-29,30,False
2020-04-05,40,False
2020-04-12,26,False
2020-04-19,28,False
2020-04-26,45,False
2020-05-03,18,False
2020-05-10,18,False
2020-05-17,0,True
