date,Wohnung streichen,isPartial
2018-01-07,36,False
2018-01-14,36,False
2018-01-21,23,False
2018-01-28,23,False
2018-02-04,25,False
2018-02-11,24,False
2018-02-18,24,False
2018-02-25,0,False
2018-03-04,23,False
2018-03-11,24,False
2018-03-18,46,False
2018-03-25,100,False
2018-04-01,0,False
2018-04-08,37,False
2018-04-15,33,False
2018-04-22,24,False
2018-04-29,0,False
2018-05-06,26,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,24,False
2018-06-10,0,False
2018-06-17,24,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,0,False
2018-07-15,81,False
2018-07-22,29,False
2018-07-29,0,False
2018-08-05,27,False
2018-08-12,55,False
2018-08-19,51,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,24,False
2018-10-21,26,False
2018-10-28,49,False
2018-11-04,35,False
2018-11-11,24,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,25,False
2018-12-16,78,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,23,False
2019-01-13,20,False
2019-01-20,32,False
2019-01-27,28,False
2019-02-03,24,False
2019-02-10,23,False
2019-02-17,47,False
2019-02-24,23,False
2019-03-03,39,False
2019-03-10,0,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,0,False
2019-04-07,19,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,19,False
2019-05-05,47,False
2019-05-12,0,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,31,False
2019-06-09,24,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,25,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,0,False
2019-07-28,25,False
2019-08-04,24,False
2019-08-11,49,False
2019-08-18,0,False
2019-08-25,22,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,23,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,24,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,23,False
2019-12-22,29,False
2019-12-29,24,False
2020-01-05,21,False
2020-01-12,21,False
2020-01-19,33,False
2020-01-26,43,False
2020-02-02,23,False
2020-02-09,38,False
2020-02-16,22,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,31,False
2020-04-05,0,False
2020-04-12,23,False
2020-04-19,42,False
2020-04-26,20,False
2020-05-03,57,False
2020-05-10,41,False
2020-05-17,0,True
