date,entreprise déménagement,isPartial
2018-01-07,58,False
2018-01-14,19,False
2018-01-21,29,False
2018-01-28,29,False
2018-02-04,29,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,41,False
2018-03-04,0,False
2018-03-11,20,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,21,False
2018-04-08,29,False
2018-04-15,21,False
2018-04-22,21,False
2018-04-29,30,False
2018-05-06,0,False
2018-05-13,20,False
2018-05-20,20,False
2018-05-27,38,False
2018-06-03,0,False
2018-06-10,28,False
2018-06-17,19,False
2018-06-24,39,False
2018-07-01,19,False
2018-07-08,20,False
2018-07-15,22,False
2018-07-22,22,False
2018-07-29,23,False
2018-08-05,0,False
2018-08-12,25,False
2018-08-19,0,False
2018-08-26,21,False
2018-09-02,20,False
2018-09-09,19,False
2018-09-16,19,False
2018-09-23,19,False
2018-09-30,20,False
2018-10-07,0,False
2018-10-14,19,False
2018-10-21,57,False
2018-10-28,61,False
2018-11-04,0,False
2018-11-11,18,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,39,False
2018-12-09,40,False
2018-12-16,40,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,20,False
2019-01-13,19,False
2019-01-20,0,False
2019-01-27,19,False
2019-02-03,18,False
2019-02-10,29,False
2019-02-17,19,False
2019-02-24,20,False
2019-03-03,19,False
2019-03-10,0,False
2019-03-17,30,False
2019-03-24,31,False
2019-03-31,20,False
2019-04-07,30,False
2019-04-14,21,False
2019-04-21,44,False
2019-04-28,22,False
2019-05-05,42,False
2019-05-12,20,False
2019-05-19,20,False
2019-05-26,0,False
2019-06-02,19,False
2019-06-09,41,False
2019-06-16,61,False
2019-06-23,20,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,22,False
2019-07-21,71,False
2019-07-28,25,False
2019-08-04,26,False
2019-08-11,27,False
2019-08-18,26,False
2019-08-25,0,False
2019-09-01,20,False
2019-09-08,40,False
2019-09-15,39,False
2019-09-22,0,False
2019-09-29,19,False
2019-10-06,20,False
2019-10-13,100,False
2019-10-20,30,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,20,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,0,False
2019-12-22,23,False
2019-12-29,22,False
2020-01-05,19,False
2020-01-12,28,False
2020-01-19,19,False
2020-01-26,0,False
2020-02-02,38,False
2020-02-09,19,False
2020-02-16,19,False
2020-02-23,28,False
2020-03-01,18,False
2020-03-08,18,False
2020-03-15,38,False
2020-03-22,19,False
2020-03-29,38,False
2020-04-05,19,False
2020-04-12,59,False
2020-04-19,38,False
2020-04-26,19,False
2020-05-03,18,False
2020-05-10,19,False
2020-05-17,67,True
