date,économiste la construction,isPartial
2018-01-07,26,False
2018-01-14,50,False
2018-01-21,38,False
2018-01-28,51,False
2018-02-04,25,False
2018-02-11,39,False
2018-02-18,40,False
2018-02-25,26,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,26,False
2018-03-25,44,False
2018-04-01,27,False
2018-04-08,65,False
2018-04-15,56,False
2018-04-22,40,False
2018-04-29,27,False
2018-05-06,0,False
2018-05-13,52,False
2018-05-20,27,False
2018-05-27,38,False
2018-06-03,65,False
2018-06-10,25,False
2018-06-17,52,False
2018-06-24,52,False
2018-07-01,51,False
2018-07-08,40,False
2018-07-15,42,False
2018-07-22,28,False
2018-07-29,57,False
2018-08-05,57,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,27,False
2018-09-02,40,False
2018-09-09,0,False
2018-09-16,26,False
2018-09-23,35,False
2018-09-30,26,False
2018-10-07,45,False
2018-10-14,27,False
2018-10-21,40,False
2018-10-28,53,False
2018-11-04,26,False
2018-11-11,34,False
2018-11-18,26,False
2018-11-25,52,False
2018-12-02,65,False
2018-12-09,40,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,56,False
2019-01-06,34,False
2019-01-13,26,False
2019-01-20,75,False
2019-01-27,100,False
2019-02-03,25,False
2019-02-10,0,False
2019-02-17,40,False
2019-02-24,26,False
2019-03-03,25,False
2019-03-10,34,False
2019-03-17,40,False
2019-03-24,27,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,40,False
2019-04-21,40,False
2019-04-28,26,False
2019-05-05,25,False
2019-05-12,26,False
2019-05-19,25,False
2019-05-26,26,False
2019-06-02,0,False
2019-06-09,25,False
2019-06-16,26,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,26,False
2019-07-14,26,False
2019-07-21,54,False
2019-07-28,0,False
2019-08-04,41,False
2019-08-11,0,False
2019-08-18,27,False
2019-08-25,51,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,24,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,40,False
2019-10-20,24,False
2019-10-27,0,False
2019-11-03,35,False
2019-11-10,23,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,23,False
2019-12-08,31,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,25,False
2020-01-05,45,False
2020-01-12,22,False
2020-01-19,0,False
2020-01-26,37,False
2020-02-02,23,False
2020-02-09,34,False
2020-02-16,30,False
2020-02-23,33,False
2020-03-01,22,False
2020-03-08,21,False
2020-03-15,41,False
2020-03-22,20,False
2020-03-29,0,False
2020-04-05,20,False
2020-04-12,0,False
2020-04-19,20,False
2020-04-26,38,False
2020-05-03,39,False
2020-05-10,27,False
2020-05-17,25,True
