date,feste private,isPartial
2018-01-07,50,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,47,False
2018-02-11,49,False
2018-02-18,0,False
2018-02-25,45,False
2018-03-04,96,False
2018-03-11,0,False
2018-03-18,94,False
2018-03-25,0,False
2018-04-01,52,False
2018-04-08,0,False
2018-04-15,100,False
2018-04-22,0,False
2018-04-29,51,False
2018-05-06,100,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,51,False
2018-06-10,69,False
2018-06-17,0,False
2018-06-24,47,False
2018-07-01,49,False
2018-07-08,96,False
2018-07-15,96,False
2018-07-22,94,False
2018-07-29,93,False
2018-08-05,92,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,43,False
2018-09-02,0,False
2018-09-09,48,False
2018-09-16,48,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,75,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,51,False
2018-11-18,49,False
2018-11-25,73,False
2018-12-02,53,False
2018-12-09,51,False
2018-12-16,51,False
2018-12-23,0,False
2018-12-30,49,False
2019-01-06,0,False
2019-01-13,48,False
2019-01-20,44,False
2019-01-27,0,False
2019-02-03,87,False
2019-02-10,87,False
2019-02-17,45,False
2019-02-24,68,False
2019-03-03,0,False
2019-03-10,46,False
2019-03-17,0,False
2019-03-24,46,False
2019-03-31,91,False
2019-04-07,45,False
2019-04-14,47,False
2019-04-21,0,False
2019-04-28,45,False
2019-05-05,89,False
2019-05-12,0,False
2019-05-19,44,False
2019-05-26,63,False
2019-06-02,0,False
2019-06-09,95,False
2019-06-16,70,False
2019-06-23,46,False
2019-06-30,46,False
2019-07-07,86,False
2019-07-14,88,False
2019-07-21,45,False
2019-07-28,65,False
2019-08-04,88,False
2019-08-11,0,False
2019-08-18,43,False
2019-08-25,43,False
2019-09-01,41,False
2019-09-08,0,False
2019-09-15,62,False
2019-09-22,42,False
2019-09-29,0,False
2019-10-06,43,False
2019-10-13,0,False
2019-10-20,87,False
2019-10-27,43,False
2019-11-03,0,False
2019-11-10,42,False
2019-11-17,43,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,90,False
2019-12-29,43,False
2020-01-05,42,False
2020-01-12,0,False
2020-01-19,41,False
2020-01-26,40,False
2020-02-02,39,False
2020-02-09,40,False
2020-02-16,0,False
2020-02-23,38,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,35,False
2020-04-19,0,False
2020-04-26,0,True
