date,torta nua,isPartial
2018-01-07,43,False
2018-01-14,43,False
2018-01-21,43,False
2018-01-28,0,False
2018-02-04,55,False
2018-02-11,0,False
2018-02-18,27,False
2018-02-25,26,False
2018-03-04,28,False
2018-03-11,57,False
2018-03-18,55,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,30,False
2018-04-29,0,False
2018-05-06,59,False
2018-05-13,0,False
2018-05-20,29,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,27,False
2018-06-17,28,False
2018-06-24,27,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,27,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,24,False
2018-08-26,74,False
2018-09-02,40,False
2018-09-09,0,False
2018-09-16,55,False
2018-09-23,56,False
2018-09-30,42,False
2018-10-07,91,False
2018-10-14,45,False
2018-10-21,59,False
2018-10-28,58,False
2018-11-04,29,False
2018-11-11,45,False
2018-11-18,43,False
2018-11-25,28,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,42,False
2019-01-13,0,False
2019-01-20,65,False
2019-01-27,26,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,27,False
2019-02-24,52,False
2019-03-03,0,False
2019-03-10,27,False
2019-03-17,56,False
2019-03-24,27,False
2019-03-31,27,False
2019-04-07,26,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,26,False
2019-05-05,0,False
2019-05-12,26,False
2019-05-19,26,False
2019-05-26,0,False
2019-06-02,27,False
2019-06-09,28,False
2019-06-16,27,False
2019-06-23,0,False
2019-06-30,54,False
2019-07-07,0,False
2019-07-14,26,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,26,False
2019-08-18,0,False
2019-08-25,25,False
2019-09-01,24,False
2019-09-08,25,False
2019-09-15,24,False
2019-09-22,25,False
2019-09-29,50,False
2019-10-06,25,False
2019-10-13,26,False
2019-10-20,0,False
2019-10-27,50,False
2019-11-03,24,False
2019-11-10,25,False
2019-11-17,100,False
2019-11-24,0,False
2019-12-01,25,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,36,False
2020-01-26,24,False
2020-02-02,23,False
2020-02-09,0,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,33,False
2020-03-08,51,False
2020-03-15,70,False
2020-03-22,84,False
2020-03-29,56,False
2020-04-05,40,False
2020-04-12,41,False
2020-04-19,28,False
2020-04-26,0,True
