date,video auguri buon compleanno,isPartial
2018-01-07,89,False
2018-01-14,58,False
2018-01-21,43,False
2018-01-28,29,False
2018-02-04,29,False
2018-02-11,72,False
2018-02-18,57,False
2018-02-25,55,False
2018-03-04,27,False
2018-03-11,41,False
2018-03-18,56,False
2018-03-25,0,False
2018-04-01,61,False
2018-04-08,28,False
2018-04-15,28,False
2018-04-22,30,False
2018-04-29,43,False
2018-05-06,28,False
2018-05-13,82,False
2018-05-20,27,False
2018-05-27,0,False
2018-06-03,57,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,29,False
2018-07-01,0,False
2018-07-08,43,False
2018-07-15,0,False
2018-07-22,44,False
2018-07-29,31,False
2018-08-05,100,False
2018-08-12,57,False
2018-08-19,56,False
2018-08-26,75,False
2018-09-02,27,False
2018-09-09,54,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,54,False
2018-10-07,55,False
2018-10-14,27,False
2018-10-21,80,False
2018-10-28,0,False
2018-11-04,51,False
2018-11-11,40,False
2018-11-18,26,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,27,False
2018-12-16,56,False
2018-12-23,32,False
2018-12-30,31,False
2019-01-06,28,False
2019-01-13,52,False
2019-01-20,26,False
2019-01-27,26,False
2019-02-03,78,False
2019-02-10,0,False
2019-02-17,27,False
2019-02-24,27,False
2019-03-03,54,False
2019-03-10,27,False
2019-03-17,55,False
2019-03-24,83,False
2019-03-31,84,False
2019-04-07,0,False
2019-04-14,57,False
2019-04-21,77,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,26,False
2019-05-19,26,False
2019-05-26,26,False
2019-06-02,56,False
2019-06-09,0,False
2019-06-16,27,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,56,False
2019-07-14,57,False
2019-07-21,59,False
2019-07-28,61,False
2019-08-04,33,False
2019-08-11,0,False
2019-08-18,69,False
2019-08-25,0,False
2019-09-01,26,False
2019-09-08,26,False
2019-09-15,26,False
2019-09-22,51,False
2019-09-29,25,False
2019-10-06,0,False
2019-10-13,38,False
2019-10-20,49,False
2019-10-27,0,False
2019-11-03,72,False
2019-11-10,49,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,25,False
2019-12-08,38,False
2019-12-15,38,False
2019-12-22,61,False
2019-12-29,59,False
2020-01-05,0,False
2020-01-12,35,False
2020-01-19,24,False
2020-01-26,23,False
2020-02-02,47,False
2020-02-09,71,False
2020-02-16,24,False
2020-02-23,33,False
2020-03-01,33,False
2020-03-08,0,False
2020-03-15,68,False
2020-03-22,43,False
2020-03-29,22,False
2020-04-05,57,False
2020-04-12,35,False
2020-04-19,33,False
2020-04-26,75,True
