date,Waschmaschinen Kundendienst,isPartial
2018-01-07,41,False
2018-01-14,50,False
2018-01-21,25,False
2018-01-28,25,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,25,False
2018-03-04,38,False
2018-03-11,25,False
2018-03-18,25,False
2018-03-25,40,False
2018-04-01,67,False
2018-04-08,26,False
2018-04-15,39,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,26,False
2018-05-13,25,False
2018-05-20,27,False
2018-05-27,26,False
2018-06-03,25,False
2018-06-10,49,False
2018-06-17,37,False
2018-06-24,26,False
2018-07-01,38,False
2018-07-08,50,False
2018-07-15,26,False
2018-07-22,39,False
2018-07-29,39,False
2018-08-05,51,False
2018-08-12,79,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,26,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,50,False
2018-09-30,25,False
2018-10-07,51,False
2018-10-14,0,False
2018-10-21,25,False
2018-10-28,62,False
2018-11-04,48,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,49,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,29,False
2018-12-30,52,False
2019-01-06,62,False
2019-01-13,46,False
2019-01-20,57,False
2019-01-27,46,False
2019-02-03,24,False
2019-02-10,24,False
2019-02-17,24,False
2019-02-24,24,False
2019-03-03,47,False
2019-03-10,23,False
2019-03-17,37,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,32,False
2019-04-14,26,False
2019-04-21,25,False
2019-04-28,24,False
2019-05-05,47,False
2019-05-12,48,False
2019-05-19,24,False
2019-05-26,24,False
2019-06-02,47,False
2019-06-09,25,False
2019-06-16,24,False
2019-06-23,41,False
2019-06-30,48,False
2019-07-07,36,False
2019-07-14,25,False
2019-07-21,39,False
2019-07-28,25,False
2019-08-04,25,False
2019-08-11,36,False
2019-08-18,41,False
2019-08-25,24,False
2019-09-01,24,False
2019-09-08,24,False
2019-09-15,24,False
2019-09-22,23,False
2019-09-29,0,False
2019-10-06,31,False
2019-10-13,23,False
2019-10-20,57,False
2019-10-27,23,False
2019-11-03,44,False
2019-11-10,30,False
2019-11-17,66,False
2019-11-24,22,False
2019-12-01,34,False
2019-12-08,22,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,24,False
2020-01-05,21,False
2020-01-12,21,False
2020-01-19,32,False
2020-01-26,35,False
2020-02-02,21,False
2020-02-09,41,False
2020-02-16,22,False
2020-02-23,31,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,42,False
2020-04-12,100,False
2020-04-19,38,False
2020-04-26,38,False
2020-05-03,19,False
2020-05-10,29,False
