date,Holzbau,isPartial
2018-01-07,63,False
2018-01-14,0,False
2018-01-21,68,False
2018-01-28,0,False
2018-02-04,36,False
2018-02-11,35,False
2018-02-18,34,False
2018-02-25,35,False
2018-03-04,45,False
2018-03-11,51,False
2018-03-18,58,False
2018-03-25,52,False
2018-04-01,50,False
2018-04-08,35,False
2018-04-15,37,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,70,False
2018-05-20,91,False
2018-05-27,0,False
2018-06-03,35,False
2018-06-10,64,False
2018-06-17,32,False
2018-06-24,56,False
2018-07-01,32,False
2018-07-08,57,False
2018-07-15,100,False
2018-07-22,53,False
2018-07-29,0,False
2018-08-05,25,False
2018-08-12,38,False
2018-08-19,39,False
2018-08-26,49,False
2018-09-02,33,False
2018-09-09,33,False
2018-09-16,34,False
2018-09-23,34,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,34,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,65,False
2018-11-11,0,False
2018-11-18,32,False
2018-11-25,34,False
2018-12-02,34,False
2018-12-09,67,False
2018-12-16,66,False
2018-12-23,50,False
2018-12-30,46,False
2019-01-06,31,False
2019-01-13,47,False
2019-01-20,31,False
2019-01-27,32,False
2019-02-03,0,False
2019-02-10,33,False
2019-02-17,32,False
2019-02-24,32,False
2019-03-03,31,False
2019-03-10,32,False
2019-03-17,32,False
2019-03-24,32,False
2019-03-31,34,False
2019-04-07,33,False
2019-04-14,51,False
2019-04-21,32,False
2019-04-28,0,False
2019-05-05,31,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,61,False
2019-06-02,31,False
2019-06-09,30,False
2019-06-16,93,False
2019-06-23,62,False
2019-06-30,39,False
2019-07-07,0,False
2019-07-14,29,False
2019-07-21,30,False
2019-07-28,0,False
2019-08-04,43,False
2019-08-11,28,False
2019-08-18,45,False
2019-08-25,30,False
2019-09-01,38,False
2019-09-08,29,False
2019-09-15,59,False
2019-09-22,30,False
2019-09-29,0,False
2019-10-06,29,False
2019-10-13,46,False
2019-10-20,56,False
2019-10-27,0,False
2019-11-03,27,False
2019-11-10,56,False
2019-11-17,28,False
2019-11-24,43,False
2019-12-01,29,False
2019-12-08,49,False
2019-12-15,30,False
2019-12-22,31,False
2019-12-29,27,False
2020-01-05,40,False
2020-01-12,26,False
2020-01-19,27,False
2020-01-26,52,False
2020-02-02,53,False
2020-02-09,28,False
2020-02-16,0,False
2020-02-23,35,False
2020-03-01,27,False
2020-03-08,50,False
2020-03-15,25,False
2020-03-22,24,False
2020-03-29,24,False
2020-04-05,45,False
2020-04-12,60,False
2020-04-19,50,False
2020-04-26,37,False
2020-05-03,25,False
2020-05-10,37,False
