date,Blechbearbeitung,isPartial
2018-01-07,44,False
2018-01-14,88,False
2018-01-21,29,False
2018-01-28,29,False
2018-02-04,30,False
2018-02-11,31,False
2018-02-18,46,False
2018-02-25,30,False
2018-03-04,0,False
2018-03-11,30,False
2018-03-18,76,False
2018-03-25,33,False
2018-04-01,33,False
2018-04-08,31,False
2018-04-15,32,False
2018-04-22,31,False
2018-04-29,0,False
2018-05-06,63,False
2018-05-13,0,False
2018-05-20,32,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,29,False
2018-06-17,58,False
2018-06-24,29,False
2018-07-01,0,False
2018-07-08,29,False
2018-07-15,44,False
2018-07-22,0,False
2018-07-29,30,False
2018-08-05,62,False
2018-08-12,82,False
2018-08-19,33,False
2018-08-26,48,False
2018-09-02,62,False
2018-09-09,0,False
2018-09-16,61,False
2018-09-23,0,False
2018-09-30,30,False
2018-10-07,30,False
2018-10-14,30,False
2018-10-21,0,False
2018-10-28,45,False
2018-11-04,43,False
2018-11-11,0,False
2018-11-18,28,False
2018-11-25,86,False
2018-12-02,29,False
2018-12-09,58,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,41,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,41,False
2019-02-03,0,False
2019-02-10,42,False
2019-02-17,0,False
2019-02-24,57,False
2019-03-03,29,False
2019-03-10,42,False
2019-03-17,0,False
2019-03-24,29,False
2019-03-31,60,False
2019-04-07,29,False
2019-04-14,31,False
2019-04-21,61,False
2019-04-28,29,False
2019-05-05,27,False
2019-05-12,0,False
2019-05-19,42,False
2019-05-26,0,False
2019-06-02,28,False
2019-06-09,0,False
2019-06-16,59,False
2019-06-23,29,False
2019-06-30,28,False
2019-07-07,55,False
2019-07-14,57,False
2019-07-21,29,False
2019-07-28,0,False
2019-08-04,30,False
2019-08-11,30,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,29,False
2019-09-08,43,False
2019-09-15,57,False
2019-09-22,69,False
2019-09-29,28,False
2019-10-06,54,False
2019-10-13,0,False
2019-10-20,27,False
2019-10-27,27,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,26,False
2019-12-01,41,False
2019-12-08,41,False
2019-12-15,28,False
2019-12-22,32,False
2019-12-29,29,False
2020-01-05,0,False
2020-01-12,100,False
2020-01-19,51,False
2020-01-26,51,False
2020-02-02,51,False
2020-02-09,24,False
2020-02-16,39,False
2020-02-23,52,False
2020-03-01,25,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,47,False
2020-04-26,0,False
2020-05-03,24,False
2020-05-10,24,False
