date,Blechbearbeitung,isPartial
2018-01-07,37,False
2018-01-14,32,False
2018-01-21,74,False
2018-01-28,0,False
2018-02-04,50,False
2018-02-11,33,False
2018-02-18,25,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,25,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,39,False
2018-04-08,37,False
2018-04-15,26,False
2018-04-22,49,False
2018-04-29,0,False
2018-05-06,26,False
2018-05-13,24,False
2018-05-20,52,False
2018-05-27,25,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,24,False
2018-06-24,49,False
2018-07-01,24,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,52,False
2018-07-29,79,False
2018-08-05,26,False
2018-08-12,26,False
2018-08-19,51,False
2018-08-26,42,False
2018-09-02,25,False
2018-09-09,62,False
2018-09-16,50,False
2018-09-23,25,False
2018-09-30,50,False
2018-10-07,100,False
2018-10-14,34,False
2018-10-21,76,False
2018-10-28,25,False
2018-11-04,0,False
2018-11-11,24,False
2018-11-18,47,False
2018-11-25,36,False
2018-12-02,24,False
2018-12-09,40,False
2018-12-16,24,False
2018-12-23,28,False
2018-12-30,26,False
2019-01-06,46,False
2019-01-13,57,False
2019-01-20,30,False
2019-01-27,45,False
2019-02-03,23,False
2019-02-10,93,False
2019-02-17,71,False
2019-02-24,48,False
2019-03-03,39,False
2019-03-10,0,False
2019-03-17,40,False
2019-03-24,24,False
2019-03-31,39,False
2019-04-07,24,False
2019-04-14,25,False
2019-04-21,25,False
2019-04-28,32,False
2019-05-05,23,False
2019-05-12,35,False
2019-05-19,54,False
2019-05-26,24,False
2019-06-02,23,False
2019-06-09,24,False
2019-06-16,72,False
2019-06-23,24,False
2019-06-30,23,False
2019-07-07,35,False
2019-07-14,25,False
2019-07-21,0,False
2019-07-28,51,False
2019-08-04,35,False
2019-08-11,33,False
2019-08-18,41,False
2019-08-25,0,False
2019-09-01,35,False
2019-09-08,24,False
2019-09-15,47,False
2019-09-22,35,False
2019-09-29,0,False
2019-10-06,34,False
2019-10-13,46,False
2019-10-20,23,False
2019-10-27,0,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,29,False
2019-11-24,32,False
2019-12-01,22,False
2019-12-08,65,False
2019-12-15,22,False
2019-12-22,25,False
2019-12-29,0,False
2020-01-05,63,False
2020-01-12,20,False
2020-01-19,21,False
2020-01-26,21,False
2020-02-02,41,False
2020-02-09,20,False
2020-02-16,35,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,31,False
2020-03-22,19,False
2020-03-29,37,False
2020-04-05,20,False
2020-04-12,29,False
2020-04-19,0,False
2020-04-26,18,False
2020-05-03,19,False
2020-05-10,57,False
