date,climatiseur gainable,isPartial
2018-01-07,20,False
2018-01-14,0,False
2018-01-21,20,False
2018-01-28,20,False
2018-02-04,0,False
2018-02-11,20,False
2018-02-18,41,False
2018-02-25,40,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,30,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,20,False
2018-04-15,33,False
2018-04-22,42,False
2018-04-29,62,False
2018-05-06,21,False
2018-05-13,0,False
2018-05-20,21,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,31,False
2018-06-24,21,False
2018-07-01,40,False
2018-07-08,31,False
2018-07-15,22,False
2018-07-22,0,False
2018-07-29,78,False
2018-08-05,100,False
2018-08-12,23,False
2018-08-19,67,False
2018-08-26,21,False
2018-09-02,0,False
2018-09-09,21,False
2018-09-16,0,False
2018-09-23,21,False
2018-09-30,21,False
2018-10-07,0,False
2018-10-14,21,False
2018-10-21,21,False
2018-10-28,21,False
2018-11-04,30,False
2018-11-11,50,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,20,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,55,False
2019-01-06,30,False
2019-01-13,0,False
2019-01-20,20,False
2019-01-27,0,False
2019-02-03,20,False
2019-02-10,0,False
2019-02-17,42,False
2019-02-24,21,False
2019-03-03,60,False
2019-03-10,20,False
2019-03-17,0,False
2019-03-24,41,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,20,False
2019-05-05,0,False
2019-05-12,20,False
2019-05-19,20,False
2019-05-26,40,False
2019-06-02,19,False
2019-06-09,19,False
2019-06-16,40,False
2019-06-23,89,False
2019-06-30,59,False
2019-07-07,60,False
2019-07-14,61,False
2019-07-21,84,False
2019-07-28,54,False
2019-08-04,43,False
2019-08-11,32,False
2019-08-18,21,False
2019-08-25,60,False
2019-09-01,19,False
2019-09-08,19,False
2019-09-15,19,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,19,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,18,False
2019-11-03,91,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,19,False
2020-01-05,0,False
2020-01-12,52,False
2020-01-19,18,False
2020-01-26,0,False
2020-02-02,26,False
2020-02-09,0,False
2020-02-16,35,False
2020-02-23,17,False
2020-03-01,17,False
2020-03-08,0,False
2020-03-15,16,False
2020-03-22,16,False
2020-03-29,0,False
2020-04-05,31,False
2020-04-12,0,False
2020-04-19,23,False
2020-04-26,15,False
2020-05-03,22,False
2020-05-10,24,False
2020-05-17,0,True
