date,Marmor Fensterbank,isPartial
2018-01-07,30,False
2018-01-14,45,False
2018-01-21,30,False
2018-01-28,60,False
2018-02-04,31,False
2018-02-11,32,False
2018-02-18,0,False
2018-02-25,31,False
2018-03-04,0,False
2018-03-11,31,False
2018-03-18,32,False
2018-03-25,33,False
2018-04-01,34,False
2018-04-08,32,False
2018-04-15,32,False
2018-04-22,31,False
2018-04-29,63,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,33,False
2018-05-27,100,False
2018-06-03,62,False
2018-06-10,89,False
2018-06-17,45,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,29,False
2018-07-15,30,False
2018-07-22,0,False
2018-07-29,31,False
2018-08-05,32,False
2018-08-12,0,False
2018-08-19,67,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,31,False
2018-09-16,0,False
2018-09-23,32,False
2018-09-30,31,False
2018-10-07,0,False
2018-10-14,31,False
2018-10-21,0,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,30,False
2018-11-18,29,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,36,False
2018-12-30,64,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,28,False
2019-01-27,28,False
2019-02-03,28,False
2019-02-10,28,False
2019-02-17,29,False
2019-02-24,59,False
2019-03-03,44,False
2019-03-10,29,False
2019-03-17,0,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,28,False
2019-05-12,29,False
2019-05-19,29,False
2019-05-26,30,False
2019-06-02,30,False
2019-06-09,31,False
2019-06-16,0,False
2019-06-23,30,False
2019-06-30,29,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,31,False
2019-07-28,59,False
2019-08-04,0,False
2019-08-11,47,False
2019-08-18,32,False
2019-08-25,62,False
2019-09-01,29,False
2019-09-08,59,False
2019-09-15,39,False
2019-09-22,28,False
2019-09-29,43,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,27,False
2019-10-27,0,False
2019-11-03,45,False
2019-11-10,28,False
2019-11-17,27,False
2019-11-24,54,False
2019-12-01,28,False
2019-12-08,0,False
2019-12-15,85,False
2019-12-22,32,False
2019-12-29,45,False
2020-01-05,52,False
2020-01-12,26,False
2020-01-19,26,False
2020-01-26,39,False
2020-02-02,26,False
2020-02-09,25,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,0,False
2020-03-08,24,False
2020-03-15,23,False
2020-03-22,24,False
2020-03-29,24,False
2020-04-05,26,False
2020-04-12,0,False
2020-04-19,24,False
2020-04-26,48,False
2020-05-03,24,False
2020-05-10,36,False
