date,Marmor Fensterbank,isPartial
2018-01-07,30,False
2018-01-14,0,False
2018-01-21,29,False
2018-01-28,29,False
2018-02-04,30,False
2018-02-11,0,False
2018-02-18,29,False
2018-02-25,29,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,47,False
2018-04-01,31,False
2018-04-08,59,False
2018-04-15,0,False
2018-04-22,29,False
2018-04-29,30,False
2018-05-06,31,False
2018-05-13,58,False
2018-05-20,62,False
2018-05-27,0,False
2018-06-03,44,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,59,False
2018-07-01,44,False
2018-07-08,28,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,62,False
2018-08-19,30,False
2018-08-26,30,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,0,False
2018-09-23,30,False
2018-09-30,30,False
2018-10-07,45,False
2018-10-14,30,False
2018-10-21,30,False
2018-10-28,29,False
2018-11-04,0,False
2018-11-11,43,False
2018-11-18,56,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,85,False
2018-12-16,29,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,28,False
2019-01-13,45,False
2019-01-20,27,False
2019-01-27,53,False
2019-02-03,0,False
2019-02-10,28,False
2019-02-17,28,False
2019-02-24,0,False
2019-03-03,41,False
2019-03-10,27,False
2019-03-17,28,False
2019-03-24,43,False
2019-03-31,56,False
2019-04-07,28,False
2019-04-14,62,False
2019-04-21,30,False
2019-04-28,57,False
2019-05-05,41,False
2019-05-12,0,False
2019-05-19,27,False
2019-05-26,29,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,43,False
2019-06-23,57,False
2019-06-30,0,False
2019-07-07,27,False
2019-07-14,44,False
2019-07-21,79,False
2019-07-28,31,False
2019-08-04,46,False
2019-08-11,29,False
2019-08-18,59,False
2019-08-25,28,False
2019-09-01,28,False
2019-09-08,28,False
2019-09-15,28,False
2019-09-22,0,False
2019-09-29,55,False
2019-10-06,0,False
2019-10-13,27,False
2019-10-20,0,False
2019-10-27,27,False
2019-11-03,26,False
2019-11-10,26,False
2019-11-17,38,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,26,False
2019-12-22,0,False
2019-12-29,43,False
2020-01-05,76,False
2020-01-12,24,False
2020-01-19,50,False
2020-01-26,25,False
2020-02-02,0,False
2020-02-09,48,False
2020-02-16,33,False
2020-02-23,24,False
2020-03-01,24,False
2020-03-08,23,False
2020-03-15,30,False
2020-03-22,22,False
2020-03-29,100,False
2020-04-05,37,False
2020-04-12,23,False
2020-04-19,23,False
2020-04-26,65,False
2020-05-03,34,False
2020-05-10,57,False
