date,foto neonati,isPartial
2018-01-07,47,False
2018-01-14,35,False
2018-01-21,46,False
2018-01-28,34,False
2018-02-04,23,False
2018-02-11,58,False
2018-02-18,11,False
2018-02-25,55,False
2018-03-04,67,False
2018-03-11,23,False
2018-03-18,56,False
2018-03-25,24,False
2018-04-01,37,False
2018-04-08,34,False
2018-04-15,35,False
2018-04-22,12,False
2018-04-29,59,False
2018-05-06,23,False
2018-05-13,46,False
2018-05-20,23,False
2018-05-27,47,False
2018-06-03,47,False
2018-06-10,33,False
2018-06-17,57,False
2018-06-24,70,False
2018-07-01,57,False
2018-07-08,46,False
2018-07-15,23,False
2018-07-22,71,False
2018-07-29,36,False
2018-08-05,74,False
2018-08-12,13,False
2018-08-19,13,False
2018-08-26,36,False
2018-09-02,45,False
2018-09-09,11,False
2018-09-16,77,False
2018-09-23,23,False
2018-09-30,57,False
2018-10-07,35,False
2018-10-14,59,False
2018-10-21,34,False
2018-10-28,56,False
2018-11-04,77,False
2018-11-11,69,False
2018-11-18,56,False
2018-11-25,58,False
2018-12-02,81,False
2018-12-09,46,False
2018-12-16,72,False
2018-12-23,27,False
2018-12-30,100,False
2019-01-06,11,False
2019-01-13,67,False
2019-01-20,76,False
2019-01-27,64,False
2019-02-03,54,False
2019-02-10,55,False
2019-02-17,34,False
2019-02-24,66,False
2019-03-03,23,False
2019-03-10,23,False
2019-03-17,11,False
2019-03-24,23,False
2019-03-31,80,False
2019-04-07,56,False
2019-04-14,58,False
2019-04-21,37,False
2019-04-28,34,False
2019-05-05,55,False
2019-05-12,33,False
2019-05-19,22,False
2019-05-26,53,False
2019-06-02,67,False
2019-06-09,23,False
2019-06-16,23,False
2019-06-23,46,False
2019-06-30,12,False
2019-07-07,45,False
2019-07-14,23,False
2019-07-21,70,False
2019-07-28,35,False
2019-08-04,36,False
2019-08-11,78,False
2019-08-18,12,False
2019-08-25,0,False
2019-09-01,21,False
2019-09-08,76,False
2019-09-15,52,False
2019-09-22,42,False
2019-09-29,75,False
2019-10-06,32,False
2019-10-13,43,False
2019-10-20,63,False
2019-10-27,53,False
2019-11-03,91,False
2019-11-10,31,False
2019-11-17,51,False
2019-11-24,61,False
2019-12-01,22,False
2019-12-08,64,False
2019-12-15,11,False
2019-12-22,37,False
2019-12-29,36,False
2020-01-05,52,False
2020-01-12,20,False
2020-01-19,40,False
2020-01-26,30,False
2020-02-02,49,False
2020-02-09,30,False
2020-02-16,20,False
2020-02-23,37,False
2020-03-01,19,False
2020-03-08,27,False
2020-03-15,9,False
2020-03-22,8,False
2020-03-29,26,False
2020-04-05,64,False
2020-04-12,18,False
2020-04-19,69,False
2020-04-26,75,True
