date,psychologue scolaire,isPartial
2018-01-07,83,False
2018-01-14,42,False
2018-01-21,49,False
2018-01-28,75,False
2018-02-04,58,False
2018-02-11,59,False
2018-02-18,53,False
2018-02-25,0,False
2018-03-04,59,False
2018-03-11,42,False
2018-03-18,51,False
2018-03-25,69,False
2018-04-01,79,False
2018-04-08,76,False
2018-04-15,55,False
2018-04-22,27,False
2018-04-29,52,False
2018-05-06,28,False
2018-05-13,63,False
2018-05-20,60,False
2018-05-27,25,False
2018-06-03,49,False
2018-06-10,24,False
2018-06-17,49,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,39,False
2018-07-15,0,False
2018-07-22,28,False
2018-07-29,30,False
2018-08-05,31,False
2018-08-12,33,False
2018-08-19,30,False
2018-08-26,55,False
2018-09-02,38,False
2018-09-09,66,False
2018-09-16,41,False
2018-09-23,38,False
2018-09-30,50,False
2018-10-07,33,False
2018-10-14,48,False
2018-10-21,24,False
2018-10-28,53,False
2018-11-04,49,False
2018-11-11,87,False
2018-11-18,49,False
2018-11-25,100,False
2018-12-02,75,False
2018-12-09,51,False
2018-12-16,43,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,42,False
2019-01-13,63,False
2019-01-20,73,False
2019-01-27,49,False
2019-02-03,47,False
2019-02-10,57,False
2019-02-17,41,False
2019-02-24,26,False
2019-03-03,62,False
2019-03-10,75,False
2019-03-17,78,False
2019-03-24,62,False
2019-03-31,64,False
2019-04-07,39,False
2019-04-14,40,False
2019-04-21,57,False
2019-04-28,0,False
2019-05-05,37,False
2019-05-12,0,False
2019-05-19,43,False
2019-05-26,27,False
2019-06-02,72,False
2019-06-09,26,False
2019-06-16,66,False
2019-06-23,26,False
2019-06-30,40,False
2019-07-07,54,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,34,False
2019-08-11,35,False
2019-08-18,33,False
2019-08-25,44,False
2019-09-01,26,False
2019-09-08,34,False
2019-09-15,68,False
2019-09-22,58,False
2019-09-29,49,False
2019-10-06,76,False
2019-10-13,51,False
2019-10-20,52,False
2019-10-27,52,False
2019-11-03,57,False
2019-11-10,51,False
2019-11-17,75,False
2019-11-24,73,False
2019-12-01,36,False
2019-12-08,40,False
2019-12-15,50,False
2019-12-22,0,False
2019-12-29,28,False
2020-01-05,48,False
2020-01-12,36,False
2020-01-19,99,False
2020-01-26,48,False
2020-02-02,0,False
2020-02-09,25,False
2020-02-16,38,False
2020-02-23,31,False
2020-03-01,46,False
2020-03-08,35,False
2020-03-15,0,False
2020-03-22,74,False
2020-03-29,0,False
2020-04-05,25,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,48,False
2020-05-03,23,False
2020-05-10,48,False
2020-05-17,58,True
