date,Certificato conformità impianto elettrico,Finestre blindate,Impianto di allarme,Installazione o sostituzione impianto di videosorveglianza,Installazione o sostituzione porte blindate,Installazione o sostituzione vetro antisfondamento
2018-01-01,0.0,0.0,66.66666666666666,0.0,0.0,0.0
2018-04-01,0.0,0.0,66.66666666666666,0.0,0.0,0.0
2018-06-01,0.0,0.0,33.33333333333333,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,33.33333333333333,0.0
2018-09-01,0.0,0.0,0.0,0.0,66.66666666666666,0.0
2018-11-01,0.0,0.0,0.0,33.33333333333333,0.0,0.0
2018-12-01,33.33333333333333,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,33.33333333333333,0.0
2019-03-01,33.33333333333333,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,33.33333333333333
2019-06-01,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333
2019-10-01,0.0,0.0,0.0,100.0,33.33333333333333,0.0
2019-11-01,0.0,0.0,66.66666666666666,0.0,0.0,0.0
2020-02-01,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0
