date,eventos musicales,isPartial
2018-01-07,35,False
2018-01-14,100,False
2018-01-21,21,False
2018-01-28,28,False
2018-02-04,28,False
2018-02-11,29,False
2018-02-18,29,False
2018-02-25,69,False
2018-03-04,54,False
2018-03-11,0,False
2018-03-18,28,False
2018-03-25,24,False
2018-04-01,14,False
2018-04-08,27,False
2018-04-15,0,False
2018-04-22,35,False
2018-04-29,14,False
2018-05-06,34,False
2018-05-13,50,False
2018-05-20,14,False
2018-05-27,28,False
2018-06-03,34,False
2018-06-10,33,False
2018-06-17,22,False
2018-06-24,14,False
2018-07-01,0,False
2018-07-08,14,False
2018-07-15,30,False
2018-07-22,15,False
2018-07-29,22,False
2018-08-05,22,False
2018-08-12,15,False
2018-08-19,15,False
2018-08-26,29,False
2018-09-02,35,False
2018-09-09,21,False
2018-09-16,28,False
2018-09-23,27,False
2018-09-30,48,False
2018-10-07,28,False
2018-10-14,41,False
2018-10-21,14,False
2018-10-28,29,False
2018-11-04,40,False
2018-11-11,27,False
2018-11-18,13,False
2018-11-25,48,False
2018-12-02,22,False
2018-12-09,58,False
2018-12-16,43,False
2018-12-23,49,False
2018-12-30,16,False
2019-01-06,21,False
2019-01-13,20,False
2019-01-20,26,False
2019-01-27,58,False
2019-02-03,14,False
2019-02-10,14,False
2019-02-17,42,False
2019-02-24,27,False
2019-03-03,35,False
2019-03-10,14,False
2019-03-17,56,False
2019-03-24,14,False
2019-03-31,20,False
2019-04-07,27,False
2019-04-14,14,False
2019-04-21,14,False
2019-04-28,0,False
2019-05-05,67,False
2019-05-12,54,False
2019-05-19,53,False
2019-05-26,13,False
2019-06-02,19,False
2019-06-09,13,False
2019-06-16,27,False
2019-06-23,28,False
2019-06-30,55,False
2019-07-07,34,False
2019-07-14,42,False
2019-07-21,43,False
2019-07-28,15,False
2019-08-04,44,False
2019-08-11,73,False
2019-08-18,29,False
2019-08-25,20,False
2019-09-01,39,False
2019-09-08,39,False
2019-09-15,25,False
2019-09-22,38,False
2019-09-29,25,False
2019-10-06,31,False
2019-10-13,37,False
2019-10-20,31,False
2019-10-27,25,False
2019-11-03,36,False
2019-11-10,30,False
2019-11-17,12,False
2019-11-24,41,False
2019-12-01,38,False
2019-12-08,13,False
2019-12-15,37,False
2019-12-22,62,False
2019-12-29,34,False
2020-01-05,25,False
2020-01-12,35,False
2020-01-19,29,False
2020-01-26,24,False
2020-02-02,12,False
2020-02-09,23,False
2020-02-16,30,False
2020-02-23,11,False
2020-03-01,11,False
2020-03-08,27,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,10,False
2020-04-05,11,False
2020-04-12,18,True
