date,Fassadensanierung,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,40,False
2018-01-28,39,False
2018-02-04,0,False
2018-02-11,40,False
2018-02-18,40,False
2018-02-25,0,False
2018-03-04,40,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,42,False
2018-04-08,40,False
2018-04-15,0,False
2018-04-22,52,False
2018-04-29,62,False
2018-05-06,83,False
2018-05-13,39,False
2018-05-20,42,False
2018-05-27,39,False
2018-06-03,40,False
2018-06-10,0,False
2018-06-17,58,False
2018-06-24,0,False
2018-07-01,39,False
2018-07-08,38,False
2018-07-15,82,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,42,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,40,False
2018-09-09,40,False
2018-09-16,60,False
2018-09-23,0,False
2018-09-30,61,False
2018-10-07,41,False
2018-10-14,41,False
2018-10-21,0,False
2018-10-28,60,False
2018-11-04,38,False
2018-11-11,39,False
2018-11-18,38,False
2018-11-25,39,False
2018-12-02,77,False
2018-12-09,77,False
2018-12-16,59,False
2018-12-23,45,False
2018-12-30,0,False
2019-01-06,74,False
2019-01-13,55,False
2019-01-20,74,False
2019-01-27,36,False
2019-02-03,61,False
2019-02-10,56,False
2019-02-17,38,False
2019-02-24,51,False
2019-03-03,75,False
2019-03-10,37,False
2019-03-17,39,False
2019-03-24,38,False
2019-03-31,37,False
2019-04-07,51,False
2019-04-14,42,False
2019-04-21,40,False
2019-04-28,77,False
2019-05-05,61,False
2019-05-12,0,False
2019-05-19,50,False
2019-05-26,58,False
2019-06-02,75,False
2019-06-09,64,False
2019-06-16,38,False
2019-06-23,96,False
2019-06-30,37,False
2019-07-07,37,False
2019-07-14,40,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,42,False
2019-08-11,100,False
2019-08-18,39,False
2019-08-25,38,False
2019-09-01,37,False
2019-09-08,38,False
2019-09-15,77,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,37,False
2019-10-13,37,False
2019-10-20,93,False
2019-10-27,36,False
2019-11-03,34,False
2019-11-10,35,False
2019-11-17,0,False
2019-11-24,68,False
2019-12-01,35,False
2019-12-08,0,False
2019-12-15,35,False
2019-12-22,0,False
2019-12-29,38,False
2020-01-05,0,False
2020-01-12,33,False
2020-01-19,34,False
2020-01-26,33,False
2020-02-02,50,False
2020-02-09,32,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,81,False
2020-03-08,61,False
2020-03-15,0,False
2020-03-22,30,False
2020-03-29,30,False
2020-04-05,66,False
2020-04-12,0,False
2020-04-19,61,False
2020-04-26,30,False
2020-05-03,61,False
2020-05-10,31,False
