date,chauffage,isPartial
2018-01-07,39,False
2018-01-14,37,False
2018-01-21,24,False
2018-01-28,37,False
2018-02-04,39,False
2018-02-11,27,False
2018-02-18,41,False
2018-02-25,58,False
2018-03-04,30,False
2018-03-11,27,False
2018-03-18,22,False
2018-03-25,13,False
2018-04-01,17,False
2018-04-08,16,False
2018-04-15,22,False
2018-04-22,15,False
2018-04-29,17,False
2018-05-06,16,False
2018-05-13,16,False
2018-05-20,10,False
2018-05-27,19,False
2018-06-03,11,False
2018-06-10,7,False
2018-06-17,13,False
2018-06-24,13,False
2018-07-01,15,False
2018-07-08,17,False
2018-07-15,12,False
2018-07-22,16,False
2018-07-29,14,False
2018-08-05,12,False
2018-08-12,12,False
2018-08-19,22,False
2018-08-26,22,False
2018-09-02,18,False
2018-09-09,20,False
2018-09-16,17,False
2018-09-23,26,False
2018-09-30,37,False
2018-10-07,41,False
2018-10-14,41,False
2018-10-21,55,False
2018-10-28,100,False
2018-11-04,48,False
2018-11-11,41,False
2018-11-18,60,False
2018-11-25,51,False
2018-12-02,30,False
2018-12-09,43,False
2018-12-16,41,False
2018-12-23,38,False
2018-12-30,55,False
2019-01-06,61,False
2019-01-13,49,False
2019-01-20,54,False
2019-01-27,34,False
2019-02-03,32,False
2019-02-10,42,False
2019-02-17,25,False
2019-02-24,20,False
2019-03-03,12,False
2019-03-10,16,False
2019-03-17,13,False
2019-03-24,18,False
2019-03-31,24,False
2019-04-07,15,False
2019-04-14,14,False
2019-04-21,16,False
2019-04-28,14,False
2019-05-05,14,False
2019-05-12,19,False
2019-05-19,18,False
2019-05-26,19,False
2019-06-02,7,False
2019-06-09,12,False
2019-06-16,13,False
2019-06-23,11,False
2019-06-30,15,False
2019-07-07,14,False
2019-07-14,12,False
2019-07-21,15,False
2019-07-28,10,False
2019-08-04,15,False
2019-08-11,16,False
2019-08-18,9,False
2019-08-25,17,False
2019-09-01,18,False
2019-09-08,24,False
2019-09-15,20,False
2019-09-22,31,False
2019-09-29,30,False
2019-10-06,36,False
2019-10-13,37,False
2019-10-20,42,False
2019-10-27,34,False
2019-11-03,65,False
2019-11-10,78,False
2019-11-17,74,False
2019-11-24,42,False
2019-12-01,39,False
2019-12-08,39,False
2019-12-15,33,False
2019-12-22,30,False
2019-12-29,44,False
2020-01-05,39,False
2020-01-12,26,False
2020-01-19,43,False
2020-01-26,29,False
2020-02-02,18,False
2020-02-09,20,False
2020-02-16,29,False
2020-02-23,24,False
2020-03-01,18,False
2020-03-08,14,False
2020-03-15,13,False
2020-03-22,9,False
2020-03-29,15,False
2020-04-05,9,False
2020-04-12,14,False
2020-04-19,12,False
2020-04-26,8,False
2020-05-03,13,False
2020-05-10,17,False
2020-05-17,14,True
